workflowId,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,test_rmse,test_mae,test_r2,test_mse,test_explained_variance,test_max_error,test_mape,test_median_absolute_error,train_rmse,train_mae,train_r2,train_mse,feature_importance_mean,feature_importance_std,feature_importance_max,training_time_seconds,cv_rmse_mean,cv_mae_mean,cv_r2_mean,cv_mse_mean,baseline_rmse_mean,baseline_mae_mean,baseline_r2_mean,r2_diff_train_test,rmse_diff_train_test,sys_cpu_percent_avg,sys_mem_percent_avg,sys_mem_used_gb_before,sys_mem_used_gb_after,sys_mem_peak_gb,sys_mem_delta_gb
1,50,-1,2,1,sqrt,2.8366501789934873,0.710483069319478,0.9761692903275458,8.046584237983783,0.9761758565803429,167.38600000000005,8483500988605.711,0.2660000000000018,1.5414632229477083,0.28611713344316336,0.993257961350893,2.3761088677003364,0.06666666666666665,0.09293912873669638,0.3408161046954362,0.1440119743347168,3.9798907608972685,0.7665420624362886,0.959150393745025,15.839530468675438,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,0.017088671023347102,-1.295186956045779,20.35,60.25,9.001419067382812,8.97637939453125,9.001419067382812,-0.0250396728515625
2,50,-1,2,1,log2,2.8366501789934873,0.710483069319478,0.9761692903275458,8.046584237983783,0.9761758565803429,167.38600000000005,8483500988605.711,0.2660000000000009,1.541463222947708,0.28611713344316336,0.993257961350893,2.376108867700336,0.06666666666666665,0.09293912873669638,0.3408161046954362,0.13628101348876953,3.9798907608972685,0.7665420624362886,0.959150393745025,15.839530468675438,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,0.017088671023347102,-1.2951869560457792,17.8,61.0,9.107589721679688,9.13824462890625,9.13824462890625,0.0306549072265625
3,50,-1,2,1,,2.0194104450528747,0.3475014320111549,0.9879225677474349,4.078018545588649,0.9879235063070898,126.46799999999999,145535154603.9817,0.014000000000006452,1.1848566735273374,0.13845916444895387,0.9960165759539478,1.4038853368022672,0.06666666666666667,0.23340131225130295,0.9396394252676411,0.33307528495788574,2.94095098718205,0.38917256196318084,0.9784829005921416,8.649192709007073,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,0.008094008206512848,-0.8345537715255373,17.3,60.9,9.111495971679688,9.10980224609375,9.111495971679688,-0.0016937255859375
4,50,-1,2,2,sqrt,2.8554890856710555,0.8219575250674938,0.9758517077820573,8.15381791838652,0.9758597977241273,150.7171326330533,9743215848223.725,0.36228639203862656,2.788459988839927,0.5537413534861403,0.9779375500658214,7.775509109361166,0.06666666666666667,0.09480697602045872,0.35248147598248913,0.12420988082885742,4.1965873846370085,0.8868752792574025,0.9547166776572107,17.611345676894487,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,0.002085842283764072,-0.06702909683112868,0.0,60.9,9.106307983398438,9.106307983398438,9.106307983398438,0.0
5,50,-1,2,2,log2,2.855489085671055,0.8219575250674938,0.9758517077820573,8.153817918386519,0.9758597977241273,150.71713263305324,9743215848223.723,0.36228639203862656,2.788459988839927,0.5537413534861403,0.9779375500658214,7.775509109361165,0.06666666666666667,0.09480697602045872,0.35248147598248913,0.13577890396118164,4.1965873846370085,0.8868752792574025,0.9547166776572107,17.611345676894487,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,0.002085842283764072,-0.06702909683112823,45.800000000000004,61.650000000000006,9.229034423828125,9.257781982421875,9.257781982421875,0.02874755859375
6,50,-1,2,2,,1.2123552379204208,0.3432536211372392,0.9956470347533359,1.4698052229130802,0.9956480927990448,39.56351666666666,117362212061.11542,0.030333333333326884,2.008454699836264,0.18897539998167898,0.9885541253801786,4.033890281294377,0.06666666666666668,0.23629796681227536,0.9505510657426832,0.3182189464569092,3.105167377841312,0.4046716900587703,0.9762039159800755,9.642064444409888,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,-0.007092909373157319,0.7960994619158432,19.75,61.400000000000006,9.243988037109375,9.156814575195312,9.243988037109375,-0.0871734619140625
7,50,-1,5,1,sqrt,3.086197688940968,0.7587207228096958,0.971791960899149,9.524616175224573,0.9717978508950883,174.4577666666667,10403216213369.398,0.2913833333333322,2.0294753006509922,0.4116813210457388,0.9883132852719964,4.1187699959524355,0.06666666666666667,0.09191138137133809,0.33261218952373406,0.1547071933746338,4.19672731177629,0.8057199236892434,0.9544931123784577,17.61252012940905,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,0.016521324372847368,-1.056722388289976,18.3,61.05,9.128829956054688,9.137954711914062,9.137954711914062,0.009124755859375
8,50,-1,5,1,log2,3.086197688940968,0.7587207228096957,0.971791960899149,9.524616175224573,0.9717978508950883,174.4577666666667,10403216213369.398,0.2913833333333322,2.029475300650992,0.41168132104573874,0.9883132852719964,4.118769995952434,0.06666666666666667,0.09191138137133809,0.33261218952373406,0.12470698356628418,4.19672731177629,0.8057199236892434,0.9544931123784577,17.61252012940905,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,0.016521324372847368,-1.0567223882899763,40.7,60.8,9.129425048828125,9.04644775390625,9.129425048828125,-0.082977294921875
9,50,-1,5,1,,1.9213916987915995,0.3508067622717922,0.9890665497380356,3.691746060185269,0.9890674148644959,101.5383142857143,63027728803.99437,0.017499999999994742,1.3991809508479582,0.16463640510039176,0.9944451457239182,1.9577073332157964,0.06666666666666667,0.23424704458356937,0.9427948840884288,0.3520843982696533,2.9900237029736085,0.39653020227425634,0.9777429245653524,8.94024174434401,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,0.005378595985882528,-0.5222107479436413,21.35,61.65,9.199859619140625,9.284347534179688,9.284347534179688,0.0844879150390625
10,50,-1,5,2,sqrt,2.9081702486824494,0.8322605923907966,0.9749524606297674,8.45745419532174,0.9749551861652949,160.9882608225109,9209270203737.227,0.37797548003937465,2.7760440004284614,0.5839411720028311,0.9781335846335464,7.706420292314855,0.06666666666666667,0.09374235132059408,0.3516831924811711,0.11460304260253906,4.124691310941622,0.8932949097017661,0.9563385277685914,17.013078410557316,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,0.0031811240037790123,-0.132126248253988,20.05,61.1,9.146652221679688,9.146652221679688,9.146652221679688,0.0
11,50,-1,5,2,log2,2.9081702486824486,0.8322605923907966,0.9749524606297674,8.457454195321734,0.9749551861652949,160.98826082251085,9209270203737.227,0.37797548003937376,2.7760440004284614,0.583941172002831,0.9781335846335464,7.706420292314855,0.06666666666666667,0.09374235132059408,0.3516831924811711,0.11996102333068848,4.124691310941622,0.8932949097017661,0.9563385277685914,17.013078410557316,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,0.0031811240037790123,-0.1321262482539871,11.15,60.8,9.095062255859375,9.095245361328125,9.095245361328125,0.00018310546875
12,50,-1,5,2,,1.2041542785078605,0.34498874785974004,0.9957057267096804,1.449987526448786,0.9957066631578566,38.83558809523805,110156115657.1503,0.030333333333340207,2.0194862717375544,0.19680684474670737,0.9884280456124342,4.078324801736446,0.06666666666666667,0.23655042763168016,0.9514930174779757,0.33699512481689453,3.1218922413094448,0.40710833423770343,0.9759369388294747,9.746211166348107,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,-0.007277681097246136,0.8153319932296939,32.1,63.95,9.57916259765625,9.693710327148438,9.693710327148438,0.1145477294921875
13,50,-1,10,1,sqrt,3.232200328524225,0.7901223226048044,0.9690598828553125,10.447118963712107,0.9690636975809218,183.93357816291902,8487047221364.527,0.3028578271401763,2.4839405754033774,0.53533697303127,0.982493178396792,6.169960782135261,0.06666666666666667,0.09222197415994106,0.3388806274653113,0.12720394134521484,4.239271194937407,0.8692541018275358,0.9538192131273867,17.971420264226033,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,0.013433295541479429,-0.7482597531208475,30.55,61.25,9.17779541015625,9.113998413085938,9.17779541015625,-0.0637969970703125
