workflowId,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,test_rmse,test_mae,test_mse,test_max_error,test_mape,test_median_absolute_error,train_rmse,train_mae,train_mse,feature_importance_std,feature_importance_max,training_time_seconds,cv_rmse_mean,cv_mae_mean,cv_mse_mean,r2_diff_train_test,rmse_diff_train_test,sys_cpu_percent_avg,cluster
1,50,-1,2,1,sqrt,2.5059007407124234,0.3736314024660698,6.2795385223030715,441.938,9229494252252.338,0.098000000000006,0.9459545509123152,0.1526326806993543,0.89483001239172,0.0926281681092802,0.3469232633826482,0.5773153305053711,2.787145105928906,0.4554891339131648,7.768177841503452,0.0150142461804558,-1.559946189800108,0.4499999999999999,1
2,50,-1,2,1,log2,2.5059007407124234,0.3736314024660698,6.279538522303073,441.938,9229494252252.338,0.098000000000006,0.945954550912315,0.1526326806993542,0.8948300123917196,0.0926281681092802,0.3469232633826482,0.5635106563568115,2.787145105928906,0.4554891339131648,7.768177841503452,0.0150142461804558,-1.5599461898001086,0.0,1
3,50,-1,2,1,,0.9590883467204118,0.1280222199693467,0.9198504568148927,126.554,1174596493909.78,1.4210854715202004e-14,0.4257852029770776,0.0489888515754179,0.1812930390742312,0.2401638467299155,0.9651564023235712,1.307583570480347,1.4281358923832237,0.1721746494638765,2.0395721271132268,0.0020608407121771,-0.5333031437433342,0.75,0
4,50,-1,2,2,sqrt,2.671187349183574,0.4769751559618114,7.135241854438368,461.4971552579737,9296859426011.926,0.1781102139150228,1.8108688398051815,0.3419447163070536,3.279245954977365,0.0935211495620357,0.3464555674915184,0.4979262351989746,2.973954125072547,0.5748147663245919,8.844403138036018,0.0108198596042815,-0.860318509378392,0.95,1
5,50,-1,2,2,log2,2.671187349183574,0.4769751559618114,7.135241854438368,461.4971552579737,9296859426011.926,0.1781102139150228,1.810868839805182,0.3419447163070537,3.2792459549773656,0.0935211495620357,0.3464555674915184,0.5041053295135498,2.973954125072547,0.5748147663245919,8.844403138036018,0.0108198596042815,-0.8603185093783918,0.6,1
6,50,-1,2,2,,1.0012675876036763,0.1376187498079396,1.0025367819856856,135.71696190476192,1425197348855.897,2.131628207280301e-14,0.5797621948430804,0.0682192907885584,0.336124202569266,0.2403501054986929,0.9658532062686278,1.2611045837402344,1.4421564056268892,0.1836092898095846,2.0798150982906685,0.0018639867082366,-0.4215053927605958,0.6,0
7,50,-1,5,1,sqrt,2.6966438193417086,0.3993627260717735,7.271887888393837,468.57285,10228474808297.826,0.1076722222222343,1.4432992201841086,0.2237889258030649,2.0831126389840557,0.0909025563675837,0.333663663318743,0.535585880279541,2.8708349579639396,0.4828626275299158,8.241693355867815,0.0144994526530571,-1.2533445991576,0.3,1
8,50,-1,5,1,log2,2.696643819341708,0.3993627260717735,7.271887888393836,468.57285,10228474808297.828,0.1076722222222343,1.4432992201841084,0.2237889258030649,2.0831126389840553,0.0909025563675837,0.333663663318743,0.5286822319030762,2.87083495796394,0.4828626275299158,8.241693355867817,0.0144994526530571,-1.2533445991575998,0.6,1
9,50,-1,5,1,,0.9803544271504964,0.1300835696171585,0.9610948028335776,129.7928690476191,1142840412787.76,1.4210854715202004e-14,0.5715706624299878,0.0591841622613066,0.326693022150655,0.2402845953695551,0.9656082483509116,1.3762602806091309,1.4535825394580983,0.1765086016197051,2.112902199017454,0.0017746244339799,-0.4087837647205085,0.15,0
10,50,-1,5,2,sqrt,2.6604544513672943,0.4923155603868425,7.07801788780005,459.0111715933804,11322963941356.145,0.1873011960927657,1.835084272177394,0.35929428765068,3.367534285992835,0.0923326876445751,0.3492097932225949,0.4865031242370605,3.040933830130617,0.5810750368998402,9.247278559232864,0.0104170305892148,-0.8253701791899004,0.15,1
11,50,-1,5,2,log2,2.6604544513672943,0.4923155603868425,7.07801788780005,459.0111715933804,11322963941356.145,0.1873011960927657,1.8350842721773937,0.35929428765068,3.3675342859928343,0.0923326876445751,0.3492097932225949,0.5037164688110352,3.040933830130617,0.5810750368998402,9.247278559232864,0.0104170305892148,-0.8253701791899006,0.45,1
12,50,-1,5,2,,0.9875464671722712,0.1380978231627842,0.9752480248244338,136.29161904761906,1417080524198.464,2.131628207280301e-14,0.6259246103878495,0.0717856898519403,0.3917816178891812,0.2403953168520101,0.9660226670266886,1.2785332202911377,1.4329325957570236,0.1848939313858031,2.0532958239829613,0.0016345003120818,-0.3616218567844217,0.95,0
13,50,-1,10,1,sqrt,2.795303491459233,0.4364956084176011,7.813721609364179,449.5786873737374,11177721099901.174,0.1204788655788684,1.878504316599653,0.30237666063321,3.528778467483528,0.0911687027640559,0.3307799373088231,0.4906783103942871,3.1192048570173623,0.5279345520704728,9.729438940040705,0.0120205017427476,-0.9167991748595804,0.6,1
14,50,-1,10,1,log2,2.795303491459234,0.4364956084176011,7.813721609364182,449.57868737373747,11177721099901.174,0.1204788655788684,1.878504316599652,0.30237666063321,3.5287784674835265,0.0911687027640559,0.3307799373088231,0.5019352436065674,3.1192048570173623,0.5279345520704728,9.729438940040705,0.0120205017427476,-0.9167991748595816,0.6,1
15,50,-1,10,1,,1.1013858057912116,0.1413072788856765,1.2130506931983565,134.62539601225234,1233702339432.0508,1.7763568394002505e-14,0.9515328641459168,0.0846991861816949,0.9054147915497316,0.2404370967835621,0.9661802271089666,1.2800414562225342,1.552360357538182,0.1901908442475207,2.409822679656073,0.0008798477557669,-0.1498529416452948,0.45,0
16,50,-1,10,2,sqrt,2.7348276855767693,0.5180975668324213,7.479282469797188,444.8260436829768,11393632132471.965,0.1989136042071866,2.0928658200690036,0.4105574759760378,4.380087340813104,0.0919342878236981,0.3375900980495185,0.4732871055603027,3.1711606699764654,0.6172610729562005,10.056259994805586,0.0087413414423469,-0.6419618655077657,0.75,1
17,50,-1,10,2,log2,2.734827685576769,0.5180975668324213,7.479282469797187,444.8260436829768,11393632132471.965,0.1989136042071866,2.0928658200690036,0.4105574759760378,4.380087340813104,0.0919342878236981,0.3375900980495185,0.4929537773132324,3.1711606699764654,0.6172610729562005,10.056259994805586,0.0087413414423469,-0.6419618655077652,0.45,1
