iteration,selected_feature,selected_shap_importance,removed_feature,relationship_measure
1,Precision,0.09223013444657013,Precision,0.0
2,Statistical Parity,0.08017205461237499,Statistical Parity,0.0
3,Equal Negative Predictive Value,0.10918932587900848,Overall Accuracy Equality,0.8411421826094154
3,Equal Negative Predictive Value,0.10918932587900848,Equal Negative Predictive Value,0.0
4,Test Fairness,0.059678167304438895,Test Fairness,0.0
5,Recall,0.06786635699834301,F1 Score,0.8999024185415506
5,Recall,0.06786635699834301,Cohen Kappa,0.8342789307578871
5,Recall,0.06786635699834301,Recall,0.0
6,Balance for Positive Class,0.06630918618369942,Predictive Equality,0.9450134197716453
6,Balance for Positive Class,0.06630918618369942,Treatment Equality,0.8789521228545619
6,Balance for Positive Class,0.06630918618369942,Balance for Positive Class,0.0
7,Equal Opportunity,0.07461012681512776,Equalized Odds,0.9323106969379401
7,Equal Opportunity,0.07461012681512776,Conditional Use Accuracy Equality,0.93231069693794
7,Equal Opportunity,0.07461012681512776,Equal Opportunity,0.0
8,Disparate Impact,0.10326910044266843,Conditional Statistical Parity,1.0
8,Disparate Impact,0.10326910044266843,Disparate Impact,0.0
9,Accuracy,0.0785936511272344,AUC-ROC,0.8192383172511721
9,Accuracy,0.0785936511272344,Matthews Corrcoef,0.7902089926497786
9,Accuracy,0.0785936511272344,Accuracy,0.0
10,learning_curve_train_score,0.16907742672043818,learning_curve_train_score,0.0
