workflowId,normalization,classifier,criterion,max_depth,n_estimators,fairness_method,random_state,test_Log_Loss,test_False_Positives,test_False_Negatives,test_Equal_Opportunity,test_Equalized_Odds,test_Predictive_Equality,test_Treatment_Equality,test_Conditional_Statistical_Parity,test_Overall_Accuracy_Equality,test_Test_Fairness,test_Well_Calibration,overfitting_Accuracy_diff,overfitting_F1_diff,overfitting_AUC_diff,system/cpu_utilization_percentage,cluster
34,standard,random_forest,gini,20,100,balanced_subsample,42,0.0537611124537596,7,3,0.0150510204081631,0.0150510204081632,0.0150510204081632,0.4,0.0018800700249032,0.0038206436420722,0.9329836734693876,0.0067371692307692,0.0058459643804471,0.0038708563346343,0.0025112244897959,16.8,1
35,standard,random_forest,gini,20,100,balanced,42,0.0730835022445279,5,3,0.0100510204081631,0.0100510204081632,0.0100510204081632,0.25,0.0034627088171091,0.0025514128728414,0.9328438775510204,0.0067365538461538,0.0046151951496778,0.0030585194501524,0.003484693877551,17.0,1
36,standard,random_forest,gini,20,100,,42,0.0532169228004446,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.9352505102040816,0.0064929846153846,0.0052305797650624,0.0034648534726796,0.0024377551020406,14.8,1
37,standard,random_forest,entropy,3,100,balanced_subsample,42,0.1178162833743807,6,21,0.0021428571428571,0.0021428571428571,0.0021428571428571,0.5555555555555556,0.0456437319526038,0.000543956043956,0.7973955909219346,0.0225838194701572,0.0049158772262219,0.0033141549350208,0.0026580735528705,10.5,0
38,standard,random_forest,entropy,3,100,balanced,42,0.1171983029493773,6,21,0.0021428571428571,0.0021428571428571,0.0021428571428571,0.5555555555555556,0.0456437319526038,0.000543956043956,0.7987948669863825,0.0225017948537013,0.0046079954528229,0.0031079396412306,0.0026524858751959,14.0,0
39,standard,random_forest,entropy,3,100,,42,0.1012775844725207,16,3,0.0375510204081632,0.0375510204081633,0.0375510204081632,0.6842105263157895,0.0051721330978947,0.0095321821036107,0.7763847514431597,0.020158066107927,0.0003006820765441,0.0001953727192524,0.0020813169751536,10.6,2
40,standard,random_forest,entropy,10,100,balanced_subsample,42,0.0702259389693255,5,3,0.0100510204081631,0.0100510204081632,0.0100510204081632,0.25,0.0034627088171091,0.0025514128728414,0.9400212694629756,0.0060610575839443,0.0049230769230769,0.0032626427406199,0.0034663265306122,12.4,1
41,standard,random_forest,entropy,10,100,balanced,42,0.0706380034092989,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.9394898496176192,0.0061588986230986,0.0052305797650624,0.0034648534726796,0.0037897959183673,0.0,1
42,standard,random_forest,entropy,10,100,,42,0.0563224818116045,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.9384038580783802,0.0062677506355969,0.0055384615384614,0.0036689767631471,0.0032204081632652,11.6,1
43,standard,random_forest,entropy,20,100,balanced_subsample,42,0.0702128681820468,5,3,0.0100510204081631,0.0100510204081632,0.0100510204081632,0.25,0.0034627088171091,0.0025514128728414,0.9403076530612244,0.006060923076923,0.0049230769230769,0.0032626427406199,0.0033948979591836,52.1,1
44,standard,random_forest,entropy,20,100,balanced,42,0.0704784437479872,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.9396581632653062,0.006164923076923,0.0052305797650624,0.0034648534726796,0.0034122448979591,15.4,1
45,standard,random_forest,entropy,20,100,,42,0.0516894762953196,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.939644387755102,0.0061558769230769,0.0055384615384614,0.0036689767631471,0.0024193877551019,22.2,1
46,standard,random_forest,log_loss,3,100,balanced_subsample,42,0.1178162833743807,6,21,0.0021428571428571,0.0021428571428571,0.0021428571428571,0.5555555555555556,0.0456437319526038,0.000543956043956,0.7973955909219346,0.0225838194701572,0.0049158772262219,0.0033141549350208,0.0026580735528705,0.0,0
47,standard,random_forest,log_loss,3,100,balanced,42,0.1171983029493773,6,21,0.0021428571428571,0.0021428571428571,0.0021428571428571,0.5555555555555556,0.0456437319526038,0.000543956043956,0.7987948669863825,0.0225017948537013,0.0046079954528229,0.0031079396412306,0.0026524858751959,0.0,0
48,standard,random_forest,log_loss,3,100,,42,0.1012775844725207,16,3,0.0375510204081632,0.0375510204081633,0.0375510204081632,0.6842105263157895,0.0051721330978947,0.0095321821036107,0.7763847514431597,0.020158066107927,0.0003006820765441,0.0001953727192524,0.0020813169751536,0.0,2
49,standard,random_forest,log_loss,10,100,balanced_subsample,42,0.0702259389693255,5,3,0.0100510204081631,0.0100510204081632,0.0100510204081632,0.25,0.0034627088171091,0.0025514128728414,0.9400212694629756,0.0060610575839443,0.0049230769230769,0.0032626427406199,0.0034663265306122,22.3,1
50,standard,random_forest,log_loss,10,100,balanced,42,0.0706380034092989,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.9394898496176192,0.0061588986230986,0.0052305797650624,0.0034648534726796,0.0037897959183673,15.3,1
51,standard,random_forest,log_loss,10,100,,42,0.0563224818116045,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.9384038580783802,0.0062677506355969,0.0055384615384614,0.0036689767631471,0.0032204081632652,18.6,1
52,standard,random_forest,log_loss,20,100,balanced_subsample,42,0.0702128681820468,5,3,0.0100510204081631,0.0100510204081632,0.0100510204081632,0.25,0.0034627088171091,0.0025514128728414,0.9403076530612244,0.006060923076923,0.0049230769230769,0.0032626427406199,0.0033948979591836,14.2,1
53,standard,random_forest,log_loss,20,100,balanced,42,0.0704784437479872,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.9396581632653062,0.006164923076923,0.0052305797650624,0.0034648534726796,0.0034122448979591,15.3,1
54,standard,random_forest,log_loss,20,100,,42,0.0516894762953196,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.939644387755102,0.0061558769230769,0.0055384615384614,0.0036689767631471,0.0024193877551019,14.3,1
55,standard,random_forest,gini,3,200,balanced_subsample,42,0.1164553447974216,7,17,0.0036224489795917,0.0036224489795917,0.0036224489795918,0.4166666666666667,0.0357020977617184,0.0009195447409733,0.7979722223950929,0.0215652933806337,0.0046091322470632,0.0030889790883891,0.0023382425181919,13.3,0
56,standard,random_forest,gini,3,200,balanced,42,0.1161100774855907,7,17,0.0036224489795917,0.0036224489795917,0.0036224489795918,0.4166666666666667,0.0357020977617184,0.0009195447409733,0.7984715786536191,0.0214683117399098,0.0049170140204622,0.0032947736686191,0.0024689903063908,16.2,0
57,standard,random_forest,gini,3,200,,42,0.101473752936494,18,3,0.0425510204081632,0.0425510204081633,0.0425510204081632,0.7142857142857143,0.0067239212400502,0.0108014128728414,0.7736198433690568,0.019823961026617,0.0002999242137172,0.0001977759672557,0.0019788481278717,0.0,2
58,standard,random_forest,gini,10,200,balanced_subsample,42,0.0540194123027537,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.9320767989584198,0.0065402209046682,0.0055384615384614,0.0036689767631471,0.0029071428571428,20.3,1
59,standard,random_forest,gini,10,200,balanced,42,0.0538103789900629,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.9324631578560302,0.0065222127551555,0.0055384615384614,0.0036689767631471,0.002984693877551,14.7,1
60,standard,random_forest,gini,10,200,,42,0.0367192333277164,6,2,0.0133673469387755,0.0133673469387755,0.0133673469387755,0.5,0.0001684871497728,0.0033932496075353,0.9330455736376556,0.0064075505621357,0.0039994316028798,0.0026478637245662,0.0026724489795918,14.0,1
61,standard,random_forest,gini,20,200,balanced_subsample,42,0.0543095224249232,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.931741581632653,0.0066758769230769,0.0055384615384614,0.0036689767631471,0.0027877551020408,16.1,1
62,standard,random_forest,gini,20,200,balanced,42,0.0542299911780965,5,3,0.0100510204081631,0.0100510204081632,0.0100510204081632,0.25,0.0034627088171091,0.0025514128728414,0.9319201530612244,0.0066698769230769,0.0049230769230769,0.0032626427406199,0.0027489795918367,10.7,1
63,standard,random_forest,gini,20,200,,42,0.0539744023145609,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.9340061224489796,0.0065545692307692,0.0055384615384614,0.0036689767631471,0.0025163265306122,16.5,1
64,standard,random_forest,entropy,3,200,balanced_subsample,42,0.1182663775066777,6,19,0.0005102040816326,0.0005102040816326,0.0005102040816326,0.52,0.0410543475655071,0.000129513343799,0.795459765735714,0.0224636344176066,0.0043008715422507,0.0028995611737955,0.0023684199549691,11.4,0
65,standard,random_forest,entropy,3,200,balanced,42,0.1180503864682629,6,20,0.0013265306122448,0.0013265306122448,0.0013265306122449,0.5384615384615384,0.0433545957546962,0.0003367346938776,0.795899628667771,0.0224320099682608,0.0052241379310344,0.0035172339933372,0.0023454565355677,10.0,0
66,standard,random_forest,entropy,3,200,,42,0.1014697522020383,16,3,0.0375510204081632,0.0375510204081633,0.0375510204081632,0.6842105263157895,0.0051721330978947,0.0095321821036107,0.7755011323424725,0.0201922308388419,-0.0006229632436529,-0.0004093071363573,0.0019532396548969,14.9,2
67,standard,random_forest,entropy,10,200,balanced_subsample,42,0.0703861176451225,5,3,0.0100510204081631,0.0100510204081632,0.0100510204081632,0.25,0.0034627088171091,0.0025514128728414,0.9390092248749996,0.0059428995886811,0.0049230769230769,0.0032626427406199,0.003781632653061,16.1,1
68,standard,random_forest,entropy,10,200,balanced,42,0.0515567470754749,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.9389035535790264,0.0059937748951525,0.0055384615384614,0.0036689767631471,0.0029061224489796,13.9,1
69,standard,random_forest,entropy,10,200,,42,0.0567024649607416,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.9377963785289511,0.0061549846402514,0.0055384615384614,0.0036689767631471,0.004045918367347,14.3,1
70,standard,random_forest,entropy,20,200,balanced_subsample,42,0.0704579679170671,5,3,0.0100510204081631,0.0100510204081632,0.0100510204081632,0.25,0.0034627088171091,0.0025514128728414,0.9390938775510206,0.0059815076923076,0.0049230769230769,0.0032626427406199,0.0036612244897958,10.2,1
71,standard,random_forest,entropy,20,200,balanced,42,0.0515242360770939,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.9388089285714286,0.0060180153846153,0.0055384615384614,0.0036689767631471,0.0027071428571429,11.0,1
72,standard,random_forest,entropy,20,200,,42,0.052472411225023,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.9384147959183672,0.0061379692307692,0.0055384615384614,0.0036689767631471,0.002738775510204,14.9,1
73,standard,random_forest,log_loss,3,200,balanced_subsample,42,0.1182663775066777,6,19,0.0005102040816326,0.0005102040816326,0.0005102040816326,0.52,0.0410543475655071,0.000129513343799,0.795459765735714,0.0224636344176066,0.0043008715422507,0.0028995611737955,0.0023684199549691,13.0,0
