cluster_id,n_samples,n_features_selected,selected_features
0,54,7,"test_Equalized_Odds,test_False_Negatives,test_Log_Loss,test_Conditional_Statistical_Parity,test_Test_Fairness,test_Well_Calibration,test_Treatment_Equality"
1,162,7,"test_Test_Fairness,test_Log_Loss,test_Conditional_Statistical_Parity,test_Well_Calibration,test_Equal_Opportunity,test_False_Negatives,test_Treatment_Equality"
2,27,7,"test_Equalized_Odds,overfitting_Accuracy_diff,test_False_Positives,test_Treatment_Equality,test_Test_Fairness,test_Log_Loss,overfitting_AUC_diff"
