cluster_id,n_samples,n_features_used,selected_features,test_auc,precision,recall,f1_score,balanced_accuracy,tn,fp,fn,tp,high_shap_features
0,54,7,"test_Equalized_Odds,test_False_Negatives,test_Log_Loss,test_Conditional_Statistical_Parity,test_Test_Fairness,test_Well_Calibration,test_Treatment_Equality",1.0,1.0,1.0,1.0,1.0,38,0,0,11,test_Equalized_Odds
1,162,7,"test_Test_Fairness,test_Log_Loss,test_Conditional_Statistical_Parity,test_Well_Calibration,test_Equal_Opportunity,test_False_Negatives,test_Treatment_Equality",1.0,1.0,1.0,1.0,1.0,16,0,0,33,test_Test_Fairness
2,27,7,"test_Equalized_Odds,overfitting_Accuracy_diff,test_False_Positives,test_Treatment_Equality,test_Test_Fairness,test_Log_Loss,overfitting_AUC_diff",1.0,1.0,1.0,1.0,1.0,44,0,0,5,test_Equalized_Odds
