iteration,selected_feature,selected_shap_importance,removed_feature,relationship_measure
1,test_Equalized_Odds,0.04963119344037126,test_Equal_Opportunity,1.0
1,test_Equalized_Odds,0.04963119344037126,test_Predictive_Equality,1.0
1,test_Equalized_Odds,0.04963119344037126,test_Overall_Accuracy_Equality,1.0
1,test_Equalized_Odds,0.04963119344037126,test_Equalized_Odds,0.0
2,test_False_Negatives,0.08063206421199116,test_False_Negatives,0.0
3,test_Log_Loss,0.09933471800026758,test_Log_Loss,0.0
4,test_Conditional_Statistical_Parity,0.15498793232590408,test_Conditional_Statistical_Parity,0.0
5,test_Test_Fairness,0.13132802194333273,test_Test_Fairness,0.0
6,test_Well_Calibration,0.18678522388886276,test_Well_Calibration,0.0
7,test_Treatment_Equality,0.12462591385651088,test_Treatment_Equality,0.0
