workflowId,criterion,fairness method,max depth,n estimators,normalization,random state,AUC-ROC,Accuracy,Balance for Negative Class,Balance for Positive Class,Cohen Kappa,Conditional Statistical Parity,Conditional Use Accuracy Equality,Disparate Impact,Equal Negative Predictive Value,Equal Opportunity,Equalized Odds,F1 Score,Log Loss,Matthews Corrcoef,Overall Accuracy Equality,Precision,Predictive Equality,Recall,Statistical Parity,Test Fairness,Treatment Equality,Well Calibration,learning_curve_train_score,system_cpu_utilization_percentage,cluster
f7a8c8b5864241e996c1fbe0c33e5573,entropy,relabel_data,3,100,none,17,0.7712294673967148,0.7450611476952023,0.6937613498789346,0.0,0.2531183481505105,0.0,-0.034764826175869,0.0,0.5299843747187151,0.0,-0.034764826175869,0.3532219570405728,0.5338962989931526,0.3342796792602333,0.5348285279048074,0.8131868131868132,0.0,0.2256097560975609,0.8723702664796634,0.248116325181758,0.0,0.8084637679741107,0.7524117647058823,16.1,1
f714b4ac4a36475fb86ced9fbcae8d80,entropy,disparate_impact_remover,3,100,none,17,0.8821083778899367,0.793038570084666,0.8048728913720855,0.0,0.252179251859479,0.0434626865671641,0.1083052553784558,0.0434626865671641,0.3868410778163413,0.1103012633624878,0.1083052553784558,0.3125,0.4242426023011633,0.3755571682249798,0.3954138430671146,0.9803921568627452,0.0,0.1858736059479553,0.9341070606040666,0.508029197080292,0.0,0.494019931469424,0.7866470588235295,19.5,2
dd89d577d47c4d2fa5982ad5c2126590,entropy,none,3,100,none,17,0.8824244098395964,0.793038570084666,0.8048728913720855,0.0,0.252179251859479,0.0434626865671641,0.1083052553784558,0.0434626865671641,0.3868410778163413,0.1103012633624878,0.1083052553784558,0.3125,0.4241863453611334,0.3755571682249798,0.3954138430671146,0.9803921568627452,0.0,0.1858736059479553,0.9341070606040666,0.508029197080292,0.0,0.4939147390475009,0.7871176470588235,31.1,2
e162f5aa1dec4414aaf296afc2b61238,entropy,relabel_data,3,50,standard,17,0.7699477351916375,0.7431796801505174,0.7113439402104297,0.0,0.2476063064394441,0.0226349206349206,-0.0068952860363903,0.0226349206349206,0.5265040240423994,0.0299145299145299,-0.0068952860363903,0.3484486873508353,0.5331006643293007,0.3270002246149752,0.5297365091758119,0.8021978021978022,0.0,0.2225609756097561,0.8762764379895273,0.25,0.0,0.8010260003678731,0.7506470588235294,31.9,1
3edb18a2d6174456b48eb98cdb8615ff,entropy,disparate_impact_remover,3,50,standard,17,0.8823729083366887,0.7958607714016933,0.7564480602529489,0.0,0.2757514199505804,0.0,-0.0099800399201597,0.0,0.3918303406358013,0.0,-0.0099800399201597,0.3444108761329305,0.4221681008544805,0.3814115436270763,0.3996541862246443,0.9193548387096774,0.0,0.2118959107806691,0.9148351648351648,0.4511070110701107,0.0,0.5058103510487548,0.7911176470588235,20.0,2
e8f52be50634426a8705b5a34a018117,entropy,none,3,50,standard,17,0.8821294466865807,0.7958607714016933,0.7564480602529489,0.0,0.2757514199505804,0.0,-0.0099800399201597,0.0,0.3918303406358013,0.0,-0.0099800399201597,0.3444108761329305,0.4221140018000568,0.3814115436270763,0.3996541862246443,0.9193548387096774,0.0,0.2118959107806691,0.9148351648351648,0.4511070110701107,0.0,0.5056505239113448,0.7894117647058824,47.7,2
525bb57b7c8d4dc6ad3ce05f340cc94d,entropy,relabel_data,3,50,none,17,0.7699269951883192,0.7431796801505174,0.7113439402104297,0.0,0.2476063064394441,0.0226349206349206,-0.0068952860363903,0.0226349206349206,0.5265040240423994,0.0299145299145299,-0.0068952860363903,0.3484486873508353,0.5331125784417615,0.3270002246149752,0.5297365091758119,0.8021978021978022,0.0,0.2225609756097561,0.8762764379895273,0.25,0.0,0.800959533110023,0.7460000000000001,13.1,1
ae3e7132e686406ea51d013d26c011ef,entropy,disparate_impact_remover,3,50,none,17,0.8823729083366887,0.7958607714016933,0.7564480602529489,0.0,0.2757514199505804,0.0,-0.0099800399201597,0.0,0.3918303406358013,0.0,-0.0099800399201597,0.3444108761329305,0.4221681008544805,0.3814115436270763,0.3996541862246443,0.9193548387096774,0.0,0.2118959107806691,0.9148351648351648,0.4511070110701107,0.0,0.5058103510487548,0.7861176470588236,31.5,2
a76856440bb8445a8754ae4f48f06013,entropy,none,3,50,none,17,0.8821294466865807,0.7958607714016933,0.7564480602529489,0.0,0.2757514199505804,0.0,-0.0099800399201597,0.0,0.3918303406358013,0.0,-0.0099800399201597,0.3444108761329305,0.4221140018000568,0.3814115436270763,0.3996541862246443,0.9193548387096774,0.0,0.2118959107806691,0.9148351648351648,0.4511070110701107,0.0,0.5056505239113448,0.7902941176470588,14.2,2
7f26e50c7dba462e832be5e26dc7efdb,entropy,relabel_data,3,20,standard,17,0.7609714617554338,0.7638758231420508,0.5877760194987086,0.0,0.336254698605158,0.0315836101882613,-0.0129824463999852,0.0315836101882613,0.5493533532426528,0.0422322775263951,-0.0129824463999852,0.4531590413943355,0.5298051861747594,0.3939305811760453,0.548004913119052,0.7938931297709924,0.0,0.3170731707317073,0.8237816575583177,0.2461924040871409,0.0,0.7837846708349147,0.748,34.7,1
d4bb6e9eb62f4c8f943713e42f044249,entropy,disparate_impact_remover,3,20,standard,17,0.8951897596284402,0.8005644402634055,0.789495290139751,0.0,0.2912709295158063,0.0736655704528206,0.1856487526200731,0.0736655704528206,0.3900896869395774,0.189640768588137,0.1856487526200731,0.3575757575757576,0.4180305912163541,0.4052946352171857,0.3990980731877546,0.9672131147540984,0.0,0.2193308550185873,0.9244752994752996,0.3688725490196078,0.0,0.5084309095741382,0.7885882352941176,16.8,2
b678a8f5afe64b51a4cbabf8e15f2ca3,entropy,none,3,20,standard,17,0.8951733727866058,0.8005644402634055,0.789495290139751,0.0,0.2912709295158063,0.0736655704528206,0.1856487526200731,0.0736655704528206,0.3900896869395774,0.189640768588137,0.1856487526200731,0.3575757575757576,0.4179485630521994,0.4052946352171857,0.3990980731877546,0.9672131147540984,0.0,0.2193308550185873,0.9244752994752996,0.3688725490196078,0.0,0.5080484979041341,0.7909411764705883,27.5,2
