PC_1,PC_2,cluster
0.40970044470128547,5.23808103886143,3
4.868933959523837,-1.1344096844599414,0
4.849453864011517,-1.0329025062204085,0
0.380089785962254,5.2039422346633994,3
4.881015256008974,-1.1273621465543475,0
4.780523489724564,-1.0465318922726987,0
0.5621035629215807,5.288669325274849,3
4.729644006733785,-1.4353786785304923,0
4.583238916000225,-1.0283984015700074,0
0.513975314748947,5.239454097014942,3
4.662203963753283,-1.438765214558825,0
4.513282749104537,-1.0121168524620225,0
0.1985745535774633,5.013111179616802,3
4.520662556630694,-0.9977411455466013,0
4.808213397704158,-0.48275954433921153,0
0.34511434389359363,5.291346092098547,3
4.557755290075331,-0.9431551934897499,0
4.698876264879769,-0.5248169063030722,0
-4.628548833720611,1.2460619385722969,1
-3.108058654625107,-2.61128177741049,2
-3.1526452632356725,-2.639107394474644,2
-4.6304459320874605,1.2457115021147074,1
-3.023830705863167,-2.556970171087298,2
-3.016349016137864,-2.5532569591067875,2
-4.545363315059757,1.2327990468577263,1
-3.0761798645668734,-2.2168473075338966,2
-3.19558041067028,-2.2952155910432417,2
-4.543162505188568,1.2349364587815335,1
-3.1822999872061115,-2.2843521893890975,2
-3.2074799266521765,-2.30161397587819,2
-3.7329682157476687,1.7362528646593556,1
-2.4597014979869996,-2.481384079414172,2
-2.505740654822173,-2.510087183337768,2
-3.7078062045508253,1.746257427990648,1
-2.4680925817772987,-2.4908077379188844,2
-2.4718729277831692,-2.4934275463275517,2
0.3643904338811682,5.209840081651367,3
4.892839872416167,-1.1204438354598725,0
4.835571074342599,-1.0406258136273376,0
0.4394048261840934,5.242350554655539,3
4.829877537720341,-1.1586849667021284,0
4.790592310940015,-1.0411178743354341,0
0.5452459888623673,5.28050978460689,3
4.696569261204969,-1.4555413380639728,0
4.5799742064327855,-1.0297919207315909,0
0.5994387491187956,5.291560522389723,3
4.705835732587299,-1.4127192191691058,0
4.478728164642458,-1.0334112912004687,0
0.17492797439400848,4.999103815024257,3
4.505635551197687,-1.0064674699138212,0
4.780951126979842,-0.49956416638300183,0
0.32284072271485453,5.277301427380794,3
4.613988412697851,-0.9094544872827004,0
4.88428125858716,-0.4081400497035387,0
-4.634605157289509,1.2455715433170096,1
-3.1770912818084973,-2.6505980758563448,2
-3.120821488259252,-2.6195656806346834,2
-4.568125516007067,1.2855548568609052,1
-3.0976540841002436,-2.604187846631604,2
-3.162455003022716,-2.6476652291982696,2
-4.5653180393823005,1.2202080669566326,1
-3.155831202552939,-2.2702491472098227,2
-3.321578715891295,-2.3720388737684974,2
-4.469583101856127,1.2834706259632966,1
-3.2367634718584637,-2.3175149810875704,2
-3.124853930416056,-2.24932705353818,2
-3.757255954362168,1.7167821746827037,1
-2.425192611516951,-2.4592611170198477,2
-2.4798515943830495,-2.496347562362658,2
-3.7303390332982116,1.7338054294623113,1
-2.4668416112249023,-2.490186792225365,2
-2.5732634823052374,-2.555028654070354,2
0.6590478556345999,5.316076733335965,3
4.972386287931137,-0.9915854846435863,0
4.814156402053177,-1.1164362213543766,0
0.5052254824470671,5.281848199333466,3
4.857863823546639,-0.9861769020222206,0
4.78240732849963,-1.1598735239197455,0
0.4701612517782844,5.380550336956028,3
4.997073415566645,-0.8966864916893963,0
4.994443406000946,-1.0717890071909189,0
0.42710981803401016,5.375762023023865,3
5.004398491176763,-0.8469657512982985,0
4.910006443289167,-1.1612648286496579,0
0.13601915809951737,5.769659240188874,3
4.733966416857298,-0.8832921923666367,0
4.248010701657234,-0.7763724378705819,0
0.18009141105562193,5.7951999932709395,3
4.748379244153735,-0.7931746056826853,0
4.262930294523054,-0.939705915975466,0
-4.530071819542316,1.1705948503388797,1
-2.7680035602159747,-2.3497552183868295,2
-2.770774287397081,-2.351841176076021,2
-4.432045998857464,1.2304596220256685,1
-2.8066164664568753,-2.3766959067483207,2
-2.7008565258780095,-2.308378043883516,2
-3.9821083213928548,2.246832516245889,1
-2.570563381404972,-2.1164456856129696,2
-2.6371940147986725,-2.15650201091901,2
-3.982795825616662,2.2435657365016577,1
-2.6400387649665613,-2.1601621268275664,2
-2.5126294720981726,-2.076985579263763,2
-3.7804082127942493,1.7932077555208186,1
-2.4166994180257166,-2.4203209399503125,2
-2.5224982449747086,-2.490613328284787,2
-3.7629067837228947,1.8020159252562202,1
-2.4403001730769023,-2.4336056776017894,2
-2.6280691087279178,-2.5572024398319053,2
