iteration,selected_feature,selected_shap_importance,removed_feature,relationship_measure
1,system_network_receive_megabytes,0.027603715496737728,system_network_transmit_megabytes,0.9764624437521633
1,system_network_receive_megabytes,0.027603715496737728,system_network_receive_megabytes,0.0
2,Equal Negative Predictive Value,0.01295684240495416,Overall Accuracy Equality,0.8411421826094154
2,Equal Negative Predictive Value,0.01295684240495416,Equal Negative Predictive Value,0.0
3,Recall,0.019956144639287257,F1 Score,0.8999024185415506
3,Recall,0.019956144639287257,Cohen Kappa,0.8342789307578871
3,Recall,0.019956144639287257,Recall,0.0
4,Statistical Parity,0.015108777055168242,Statistical Parity,0.0
5,Precision,0.01341081289945727,Precision,0.0
6,Test Fairness,0.013272417558346416,Test Fairness,0.0
7,Predictive Equality,0.01210068273452229,Balance for Positive Class,0.9450134197716453
7,Predictive Equality,0.01210068273452229,Treatment Equality,0.9100885177690456
7,Predictive Equality,0.01210068273452229,Conditional Statistical Parity,0.7662547794610262
7,Predictive Equality,0.01210068273452229,Disparate Impact,0.7662547794610262
7,Predictive Equality,0.01210068273452229,Predictive Equality,0.0
8,Equalized Odds,0.011632777311668842,Conditional Use Accuracy Equality,1.0
8,Equalized Odds,0.011632777311668842,Equal Opportunity,0.9323106969379401
8,Equalized Odds,0.011632777311668842,Equalized Odds,0.0
9,system_system_memory_usage_megabytes,0.013966170965066464,system_system_memory_usage_percentage,0.901021673097863
9,system_system_memory_usage_megabytes,0.013966170965066464,system_system_memory_usage_megabytes,0.0
10,Matthews Corrcoef,0.015999101270590742,Accuracy,0.7902089926497786
10,Matthews Corrcoef,0.015999101270590742,Matthews Corrcoef,0.0
