workflowId,criterion,fairness method,random state,max depth,normalization,n estimators,Predictive Equality,Overall Accuracy Equality,Conditional Use Accuracy Equality,system_system_memory_usage_percentage,Balance for Negative Class,learning_curve_train_score,Recall,system_system_memory_usage_megabytes,Test Fairness,system_disk_usage_percentage,Statistical Parity,Conditional Statistical Parity,AUC-ROC,learning_curve_test_score,Well Calibration,Matthews Corrcoef,system_network_transmit_megabytes,Equal Negative Predictive Value,Cohen Kappa,Equal Opportunity,Equalized Odds,Balance for Positive Class,system_disk_usage_megabytes,system_disk_available_megabytes,Accuracy,F1 Score,Log Loss,Treatment Equality,Precision,Disparate Impact,system_cpu_utilization_percentage,system_network_receive_megabytes
3edb18a2d6174456b48eb98cdb8615ff,entropy,disparate_impact_remover,17,3,standard,50,0.0,0.3996541862246443,-0.009980039920159722,29.9,0.7564480602529489,0.7911176470588235,0.21189591078066913,30235.9,0.4511070110701107,99.9,0.9148351648351648,0.0,0.8823729083366887,0.7854117647058823,0.5058103510487548,0.38141154362707635,585.9262400000007,0.39183034063580136,0.2757514199505804,0.0,-0.009980039920159722,0.0,18199.8,17.6,0.7958607714016933,0.34441087613293053,0.42216810085448053,0.0,0.9193548387096774,0.0,20.0,585.8463210000191
e8f52be50634426a8705b5a34a018117,entropy,none,17,3,standard,50,0.0,0.3996541862246443,-0.009980039920159722,29.8,0.7564480602529489,0.7894117647058824,0.21189591078066913,30219.7,0.4511070110701107,99.9,0.9148351648351648,0.0,0.8821294466865807,0.7868235294117647,0.5056505239113448,0.38141154362707635,185.96710100001656,0.39183034063580136,0.2757514199505804,0.0,-0.009980039920159722,0.0,18199.8,17.6,0.7958607714016933,0.34441087613293053,0.4221140018000568,0.0,0.9193548387096774,0.0,47.7,185.96325400000205
525bb57b7c8d4dc6ad3ce05f340cc94d,entropy,relabel_data,17,3,none,50,0.0,0.5297365091758119,-0.006895286036390343,29.9,0.7113439402104297,0.7460000000000001,0.2225609756097561,30232.2,0.25,99.9,0.8762764379895273,0.022634920634920636,0.7699269951883192,0.744235294117647,0.800959533110023,0.32700022461497524,70.0574960000231,0.5265040240423994,0.24760630643944415,0.029914529914529912,-0.006895286036390343,0.0,18199.8,17.6,0.7431796801505174,0.34844868735083534,0.5331125784417615,0.0,0.8021978021978022,0.022634920634920636,13.1,70.04139999998733
ae3e7132e686406ea51d013d26c011ef,entropy,disparate_impact_remover,17,3,none,50,0.0,0.3996541862246443,-0.009980039920159722,29.8,0.7564480602529489,0.7861176470588236,0.21189591078066913,30191.8,0.4511070110701107,99.9,0.9148351648351648,0.0,0.8823729083366887,0.7807058823529411,0.5058103510487548,0.38141154362707635,145.82935700000962,0.39183034063580136,0.2757514199505804,0.0,-0.009980039920159722,0.0,18199.8,17.6,0.7958607714016933,0.34441087613293053,0.42216810085448053,0.0,0.9193548387096774,0.0,31.5,145.28642699998454
a76856440bb8445a8754ae4f48f06013,entropy,none,17,3,none,50,0.0,0.3996541862246443,-0.009980039920159722,29.8,0.7564480602529489,0.7902941176470588,0.21189591078066913,30185.0,0.4511070110701107,99.9,0.9148351648351648,0.0,0.8821294466865807,0.7903529411764707,0.5056505239113448,0.38141154362707635,51.064512000011746,0.39183034063580136,0.2757514199505804,0.0,-0.009980039920159722,0.0,18199.8,17.6,0.7958607714016933,0.34441087613293053,0.4221140018000568,0.0,0.9193548387096774,0.0,14.2,51.00713199999882
7f26e50c7dba462e832be5e26dc7efdb,entropy,relabel_data,17,3,standard,20,0.0,0.548004913119052,-0.012982446399985206,29.8,0.5877760194987086,0.748,0.3170731707317073,30174.9,0.24619240408714094,99.9,0.8237816575583177,0.03158361018826135,0.7609714617554338,0.7454117647058823,0.7837846708349147,0.39393058117604535,84.8040800000017,0.5493533532426528,0.336254698605158,0.042232277526395176,-0.012982446399985206,0.0,18199.8,17.6,0.7638758231420508,0.4531590413943355,0.5298051861747594,0.0,0.7938931297709924,0.03158361018826135,34.7,84.72910600001342
d4bb6e9eb62f4c8f943713e42f044249,entropy,disparate_impact_remover,17,3,standard,20,0.0,0.39909807318775464,0.18564875262007313,29.8,0.789495290139751,0.7885882352941176,0.21933085501858737,30207.8,0.3688725490196078,99.9,0.9244752994752995,0.07366557045282064,0.8951897596284402,0.7837647058823529,0.5084309095741382,0.40529463521718573,162.07530599998427,0.39008968693957746,0.29127092951580635,0.189640768588137,0.18564875262007313,0.0,18199.8,17.6,0.8005644402634055,0.3575757575757576,0.4180305912163541,0.0,0.9672131147540983,0.07366557045282064,16.8,161.29478100000415
b678a8f5afe64b51a4cbabf8e15f2ca3,entropy,none,17,3,standard,20,0.0,0.39909807318775464,0.18564875262007313,29.8,0.789495290139751,0.7909411764705883,0.21933085501858737,30179.0,0.3688725490196078,99.9,0.9244752994752995,0.07366557045282064,0.8951733727866058,0.7872941176470588,0.5080484979041341,0.40529463521718573,98.1378750000149,0.39008968693957746,0.29127092951580635,0.189640768588137,0.18564875262007313,0.0,18199.8,17.6,0.8005644402634055,0.3575757575757576,0.4179485630521994,0.0,0.9672131147540983,0.07366557045282064,27.5,98.03958499999135
05eb4fca53a2488bbb4808a8d4b6fec5,entropy,relabel_data,17,3,none,20,0.0,0.548004913119052,-0.012982446399985206,29.8,0.5877760194987086,0.7478823529411764,0.3170731707317073,30146.5,0.24619240408714094,99.9,0.8237816575583177,0.03158361018826135,0.760917537746806,0.7418823529411765,0.7836042945537297,0.39393058117604535,75.90046199999051,0.5493533532426528,0.336254698605158,0.042232277526395176,-0.012982446399985206,0.0,18199.8,17.6,0.7638758231420508,0.4531590413943355,0.529842150055418,0.0,0.7938931297709924,0.03158361018826135,30.0,75.33254800000577
f339d45ea662494eb6e3b82bdf07364c,entropy,disparate_impact_remover,17,3,none,20,0.0,0.39909807318775464,0.18564875262007313,29.8,0.789495290139751,0.7955294117647058,0.21933085501858737,30186.7,0.3688725490196078,99.9,0.9244752994752995,0.07366557045282064,0.8951897596284402,0.7898823529411765,0.5084309095741382,0.40529463521718573,505.3319859999756,0.39008968693957746,0.29127092951580635,0.189640768588137,0.18564875262007313,0.0,18199.8,17.6,0.8005644402634055,0.3575757575757576,0.4180305912163541,0.0,0.9672131147540983,0.07366557045282064,27.4,505.2190890000202
