workflowId,criterion,fairness method,max depth,model type,n estimators,normalization,random state,splitter,AUC-ROC,Accuracy,Balance for Negative Class,Balance for Positive Class,Cohen Kappa,Conditional Statistical Parity,Conditional Use Accuracy Equality,Disparate Impact,Equal Negative Predictive Value,Equal Opportunity,Equalized Odds,F1 Score,Log Loss,Matthews Corrcoef,Overall Accuracy Equality,Precision,Predictive Equality,Recall,Test Fairness,Treatment Equality,Well Calibration,learning_curve_train_score,system_cpu_utilization_percentage,system_network_receive_megabytes,system_network_transmit_megabytes,system_system_memory_usage_megabytes,system_system_memory_usage_percentage,cluster
68b7d10137a64be7bf6c65068e97c8d4,entropy,disparate_impact_remover,30,random_forest,100,minmax,17,basic,0.9136553893981816,0.8485418626528692,0.9735916254433226,0.1819017026660773,0.5834892929371593,0.3375742645993334,0.8586576271166692,0.3375742645993334,0.4113636623699101,0.9559442824748948,0.8586576271166692,0.6824457593688363,0.317707783612385,0.585374799300299,0.3984720028198814,0.726890756302521,0.3778817487733427,0.6431226765799256,0.4473684210526315,0.3495822345480263,0.3766297653286496,0.9906470588235294,3.8,17.76100099999985,17.76006099999995,13797.5,13.6,4
6f6f4a0fd7214c629ab843857bad0308,gini,disparate_impact_remover,30,random_forest,100,minmax,17,basic,0.9120752296498836,0.8541862652869238,0.8676894576859353,0.1141378678536416,0.6000334994550269,0.3343283582089552,0.8804689038725784,0.3343283582089552,0.4100880736910149,0.9845814977973568,0.8804689038725784,0.6954813359528488,0.373539365275657,0.601720650784037,0.3947799376456386,0.7375,0.2519211658488952,0.6579925650557621,0.368421052631579,0.2596896599499624,0.3666488702393005,0.9914117647058824,17.3,5.195803000000524,5.194943000000421,13859.7,13.7,1
d9a3bb9582d94e28a4385864db878441,entropy,disparate_impact_remover,20,random_forest,100,minmax,17,basic,0.9166284307023868,0.8626528692380057,0.844847842862075,0.1045747671877664,0.6149143222950608,0.3508706467661691,0.8745763123360112,0.3508706467661691,0.4085827965138309,0.9581497797356828,0.8745763123360112,0.7032520325203252,0.3107112027143554,0.6194908569086688,0.398865577477502,0.7757847533632287,0.2371810976343321,0.6431226765799256,0.375,0.2570332599913908,0.3961732043908313,0.9648823529411764,3.8,14.174811999999292,14.173839999999473,13812.3,13.6,1
6998d231959644bfa2006c8cdfb0f871,gini,disparate_impact_remover,20,random_forest,100,minmax,17,basic,0.9198777073403688,0.8673565380997178,0.9095385454137098,0.1066332072890198,0.63146273515664,0.3385284632115803,0.9122278814444904,0.3385284632115803,0.4130775032932649,0.9977973568281938,0.9122278814444904,0.717434869739479,0.3059701343425848,0.6347692638844913,0.4021950063379153,0.7782608695652173,0.2322398247669502,0.6654275092936803,0.3333333333333333,0.233262907695439,0.3790114265519914,0.9692941176470588,13.6,5.194695000000138,5.193814999999631,13813.5,13.6,1
13f59e5d12ec48169c5ed30c6ecfa2fa,entropy,disparate_impact_remover,10,random_forest,100,minmax,17,basic,0.9158582491361792,0.8617121354656632,0.8969764560849155,0.1150431712594362,0.5970546445691947,0.3067954345917472,0.8132613869974222,0.3067954345917472,0.4115887630395445,0.8742997198879552,0.8132613869974222,0.6825053995680346,0.3271169181441333,0.6100864593793485,0.4079433237697597,0.8144329896907216,0.2185786586041884,0.587360594795539,0.2688172043010752,0.184010491891015,0.4020389949624487,0.8795882352941178,27.2,5.183831000000282,5.183162999999695,13930.0,13.8,1
c46a373cb30548caa258e2fa60d36149,gini,disparate_impact_remover,10,random_forest,100,minmax,17,basic,0.913273810081185,0.8551269990592663,0.9803582281986628,0.1444291987007052,0.579574288854874,0.3304180850135288,0.869048678212434,0.3304180850135288,0.4075676498020645,0.9346580737558182,0.869048678212434,0.6695278969957081,0.3298419749060015,0.5911060207879578,0.4032076632948205,0.7918781725888325,0.2933555681266739,0.5799256505576208,0.3813953488372093,0.2685295114686085,0.4217201330826141,0.8848823529411766,27.4,5.186604999999872,5.185758999999962,13972.1,13.8,1
4e2d47b37c78477297d6e133ff425810,entropy,disparate_impact_remover,5,random_forest,100,minmax,17,basic,0.8971725674903787,0.8297271872060207,0.6607147181268687,0.0,0.467834057536088,0.1110360605730471,0.2912065776703473,0.1110360605730471,0.4122809906666735,0.3470948012232415,0.2912065776703473,0.5617433414043583,0.3812772691603925,0.5030384804873649,0.410798250513223,0.8055555555555556,0.0,0.4312267657992565,0.4606382978723404,0.0,0.451669991148405,0.8393529411764705,23.9,5.182596000000558,5.181800000000294,13972.7,13.8,3
efb49615030f4a5fa1fadf647a97115a,gini,disparate_impact_remover,5,random_forest,100,minmax,17,basic,0.8969291058402704,0.8278457196613358,0.6313695837990665,0.0,0.4666010414124603,0.090547263681592,0.2256685608375086,0.090547263681592,0.4149556678127147,0.2895408163265306,0.2256685608375086,0.5632458233890215,0.3802970483828117,0.4974855714142076,0.4114639581218884,0.7866666666666666,0.0,0.4386617100371747,0.4375,0.0,0.4520512027303744,0.8398235294117647,27.2,5.179396000000452,5.178651999999602,13969.1,13.8,3
13864b0b1fcf445a88d273639f811a71,entropy,disparate_impact_remover,30,random_forest,50,minmax,17,basic,0.9136343206015376,0.8513640639698965,0.8767910953539696,0.1997412687438729,0.5938450674933862,0.3656716417910448,0.8907078117224078,0.3656716417910448,0.4102868285560593,0.9845814977973568,0.8907078117224078,0.69140625,0.3740970871784158,0.5951758807741444,0.3985517204893867,0.7283950617283951,0.4408620402355666,0.6579925650557621,0.5365853658536586,0.4544569049124343,0.3746002026097098,0.9894117647058824,27.3,5.184855999999854,5.184017999999924,13961.1,13.8,1
f6bf34e79e03416dba93a7765bd1d869,gini,disparate_impact_remover,30,random_forest,50,minmax,17,basic,0.9114455067279692,0.8607714016933208,0.9775882697050672,0.0629037222968262,0.6176091701464677,0.3000995024875622,0.8468349960817746,0.3000995024875622,0.414758290310573,0.953781512605042,0.8468349960817746,0.7086614173228346,0.3742680642077928,0.6194728877844787,0.3975338059333368,0.7531380753138075,0.130380252500744,0.6691449814126395,0.3913043478260869,0.1190078780535425,0.3662741815291749,0.991235294117647,17.0,5.186319000000367,5.185559000000467,13986.4,13.8,1
