metric_1,metric_2,relationship_type,relationship_strength,is_tradeoff
sys_mem_delta_gb,test_mae,Kendall,-0.015752427045264396,0
training_time_seconds,test_mae,Kendall,-0.03126526997403612,0
training_time_seconds,train_rmse,Kendall,-0.03126526997403612,0
r2_diff_train_test,test_mae,Kendall,-0.04878210003655779,0
training_time_seconds,sys_mem_peak_gb,Kendall,-0.0606060606060606,0
training_time_seconds,train_mse,Kendall,-0.06253053994807224,0
rmse_diff_train_test,test_median_absolute_error,Kendall,-0.06349206349206347,0
sys_mem_delta_gb,cv_rmse_mean,Kendall,-0.06352408168042842,0
sys_mem_delta_gb,cv_mse_mean,Kendall,-0.06352408168042842,0
rmse_diff_train_test,train_r2,Kendall,-0.06452452246611029,0
r2_diff_train_test,train_rmse,Kendall,-0.06504280004874373,0
feature_importance_max,test_median_absolute_error,Kendall,-0.06506000486323553,0
cv_mae_mean,train_mae,Kendall,-0.06557377049180328,0
test_r2,test_mae,Kendall,-0.06558258357839529,0
test_mape,cv_r2_mean,Kendall,-0.06611796049072863,0
test_max_error,train_mae,Kendall,-0.06611796049072863,0
test_r2,cv_r2_mean,Kendall,-0.06666666666666665,0
test_r2,feature_importance_std,Kendall,-0.06666666666666665,0
r2_diff_train_test,train_mse,Kendall,-0.08130350006092966,0
training_time_seconds,sys_mem_used_gb_before,Kendall,-0.0909090909090909,0
training_time_seconds,test_median_absolute_error,Kendall,-0.10855649121315493,0
sys_mem_delta_gb,sys_cpu_percent_avg,Kendall,-0.12704816336085684,0
sys_mem_used_gb_after,feature_importance_std,Kendall,-0.12712834523274563,0
sys_mem_delta_gb,train_rmse,Kendall,-0.14177184340737956,0
sys_mem_delta_gb,train_mse,Kendall,-0.17327669749790836,0
sys_mem_delta_gb,test_median_absolute_error,Kendall,-0.18752289237539815,0
test_r2,test_median_absolute_error,Kendall,-0.19518001458970663,0
test_mape,sys_cpu_percent_avg,Kendall,-0.19672131147540986,0
test_mape,test_mse,Kendall,-0.19672131147540986,0
r2_diff_train_test,train_mae,Kendall,-0.19672131147540986,0
test_mape,test_rmse,Kendall,-0.19672131147540986,0
r2_diff_train_test,sys_mem_peak_gb,Kendall,-0.20488325586666567,0
r2_diff_train_test,sys_mem_used_gb_before,Kendall,-0.20488325586666567,0
cv_mae_mean,test_mae,Kendall,-0.21138910015841714,0
test_r2,sys_cpu_percent_avg,Kendall,-0.21488337159486806,0
sys_mem_delta_gb,sys_mem_peak_gb,Kendall,-0.22901430620717222,0
training_time_seconds,cv_rmse_mean,Kendall,-0.2364037567692296,0
training_time_seconds,cv_mse_mean,Kendall,-0.2364037567692296,0
sys_mem_delta_gb,feature_importance_std,Kendall,-0.2401922307076307,0
sys_mem_delta_gb,sys_mem_used_gb_before,Kendall,-0.2595495470347952,0
r2_diff_train_test,sys_cpu_percent_avg,Kendall,-0.29508196721311475,0
cv_mae_mean,test_median_absolute_error,Kendall,-0.30649148171402396,0
training_time_seconds,feature_importance_std,Kendall,-0.3178208630818641,0
test_mape,train_rmse,Kendall,-0.32521400024371866,0
test_mape,train_mse,Kendall,-0.32521400024371866,0
cv_mae_mean,test_rmse,Kendall,-0.3278688524590164,0
cv_mae_mean,test_mse,Kendall,-0.3278688524590164,0
r2_diff_train_test,test_explained_variance,Kendall,-0.33058980245364317,0
rmse_diff_train_test,test_mse,Kendall,-0.33875374294707905,0
rmse_diff_train_test,test_rmse,Kendall,-0.33875374294707905,0
feature_importance_max,sys_cpu_percent_avg,Kendall,-0.38017827282168964,0
sys_mem_used_gb_after,test_explained_variance,Kendall,-0.3813850356982369,0
training_time_seconds,test_mse,Kendall,-0.3940062612820493,0
training_time_seconds,test_rmse,Kendall,-0.3940062612820493,0
test_r2,sys_mem_peak_gb,Kendall,-0.4449492083146097,0
test_r2,sys_mem_used_gb_before,Kendall,-0.4449492083146097,0
cv_mae_mean,train_mse,Kendall,-0.4552996003412061,0
rmse_diff_train_test,feature_importance_std,Kendall,-0.4554200340426488,0
cv_mae_mean,sys_cpu_percent_avg,Kendall,-0.459016393442623,0
feature_importance_max,train_mse,Kendall,-0.459078085048767,0
feature_importance_max,train_rmse,Kendall,-0.459078085048767,0
test_max_error,test_explained_variance,Kendall,-0.4666666666666666,0
test_max_error,feature_importance_std,Kendall,-0.4666666666666666,0
feature_importance_max,cv_r2_mean,Kendall,-0.4666666666666666,0
cv_mae_mean,train_rmse,Kendall,-0.47156030035339197,0
sys_mem_delta_gb,test_mse,Kendall,-0.4764306126032131,0
sys_mem_delta_gb,test_rmse,Kendall,-0.4764306126032131,0
sys_mem_used_gb_after,cv_rmse_mean,Kendall,-0.48856776398974117,0
sys_mem_used_gb_after,cv_mse_mean,Kendall,-0.48856776398974117,0
sys_mem_used_gb_after,train_r2,Kendall,-0.5200882648923051,0
rmse_diff_train_test,cv_mse_mean,Kendall,-0.5645895715784651,0
rmse_diff_train_test,cv_rmse_mean,Kendall,-0.5645895715784651,0
feature_importance_max,sys_mem_peak_gb,Kendall,-0.5720775535473553,0
feature_importance_max,sys_mem_used_gb_before,Kendall,-0.5720775535473553,0
test_r2,train_mse,Kendall,-0.5902432522055576,0
test_r2,train_rmse,Kendall,-0.5902432522055576,0
r2_diff_train_test,cv_r2_mean,Kendall,-0.5950616444165576,0
feature_importance_max,test_mse,Kendall,-0.5950616444165577,0
feature_importance_max,test_rmse,Kendall,-0.5950616444165577,0
test_max_error,cv_mse_mean,Kendall,-0.5950616444165577,0
test_max_error,train_r2,Kendall,-0.5950616444165577,0
test_max_error,cv_rmse_mean,Kendall,-0.5950616444165577,0
cv_mae_mean,cv_r2_mean,Kendall,-0.7272975653980149,0
cv_mae_mean,sys_mem_used_gb_before,Kendall,-0.7407317712102527,0
cv_mae_mean,sys_mem_peak_gb,Kendall,-0.7722522721128167,1
test_r2,test_rmse,Kendall,-0.9917694073609294,1
test_r2,test_mse,Kendall,-0.9917694073609294,1
