metric_1,metric_2,relationship_type,relationship_strength,is_tradeoff
r2_diff_train_test,sys_cpu_percent_avg,Kendall,-0.0011747036021138475,0
r2_diff_train_test,test_median_absolute_error,Kendall,-0.13101818916146415,0
training_time_seconds,test_rmse,Kendall,-0.14605263157894735,0
training_time_seconds,feature_importance_max,Kendall,-0.18596491228070172,0
training_time_seconds,test_median_absolute_error,Kendall,-0.1912513835075064,0
training_time_seconds,train_mse,Kendall,-0.20350877192982453,0
training_time_seconds,train_rmse,Kendall,-0.20350877192982453,0
training_time_seconds,test_mape,Kendall,-0.22129619608880327,0
training_time_seconds,cv_rmse_mean,Kendall,-0.243859649122807,0
training_time_seconds,cv_mse_mean,Kendall,-0.243859649122807,0
training_time_seconds,train_mae,Kendall,-0.2478070175438596,0
r2_diff_train_test,test_mape,Kendall,-0.26252878762963083,0
training_time_seconds,cv_mae_mean,Kendall,-0.2697368421052631,0
training_time_seconds,test_mae,Kendall,-0.2824561403508771,0
r2_diff_train_test,test_mae,Kendall,-0.33684210526315783,0
r2_diff_train_test,test_rmse,Kendall,-0.3390350877192982,0
r2_diff_train_test,cv_mae_mean,Kendall,-0.35131578947368414,0
r2_diff_train_test,train_mae,Kendall,-0.3697368421052631,0
r2_diff_train_test,cv_mse_mean,Kendall,-0.4561403508771929,0
r2_diff_train_test,cv_rmse_mean,Kendall,-0.4561403508771929,0
r2_diff_train_test,feature_importance_max,Kendall,-0.5192982456140349,0
r2_diff_train_test,train_mse,Kendall,-0.5684210526315788,0
r2_diff_train_test,train_rmse,Kendall,-0.5684210526315788,0
