iteration,selected_feature,selected_shap_importance,removed_feature,relationship_measure
1,rmse_diff_train_test,0.04600302476272866,rmse_diff_train_test,0.0
2,sys_mem_peak_gb,0.034508125440321946,sys_mem_used_gb_after,0.996270446772621
2,sys_mem_peak_gb,0.034508125440321946,sys_mem_used_gb_before,0.949813522338631
2,sys_mem_peak_gb,0.034508125440321946,sys_mem_percent_avg,0.89284276723085
2,sys_mem_peak_gb,0.034508125440321946,sys_mem_peak_gb,0.0
3,training_time_seconds,0.10001199066300503,training_time_seconds,0.0
4,train_r2,0.029916746996881585,cv_r2_mean,0.8681901336392669
4,train_r2,0.029916746996881585,test_r2,0.8486690129855153
4,train_r2,0.029916746996881585,test_explained_variance,0.8486624342324544
4,train_r2,0.029916746996881585,train_r2,0.0
5,train_mse,0.038607497712601316,train_rmse,0.999767624997728
5,train_mse,0.038607497712601316,cv_rmse_mean,0.8676371751749061
5,train_mse,0.038607497712601316,cv_mse_mean,0.8676211015449049
5,train_mse,0.038607497712601316,test_rmse,0.8480571516317891
5,train_mse,0.038607497712601316,test_mse,0.8479454713767742
5,train_mse,0.038607497712601316,train_mae,0.8183550516383645
5,train_mse,0.038607497712601316,cv_mae_mean,0.8154408829718662
5,train_mse,0.038607497712601316,test_mae,0.8063241797467815
5,train_mse,0.038607497712601316,test_median_absolute_error,0.784256042710248
5,train_mse,0.038607497712601316,train_mse,0.0
6,r2_diff_train_test,0.08652058408031775,r2_diff_train_test,0.0
7,test_mape,0.0952681691047472,test_mape,0.0
8,feature_importance_max,0.06944318452607325,feature_importance_std,0.9492403100775194
8,feature_importance_max,0.06944318452607325,feature_importance_max,0.0
9,test_max_error,0.12960605120138113,test_max_error,0.0
10,sys_mem_delta_gb,0.12551340056054008,sys_mem_delta_gb,0.0
