iteration,selected_feature,selected_shap_importance,removed_feature,relationship_measure
1,sys_mem_used_gb_before,0.022764822658310972,sys_mem_peak_gb,0.949813522338631
1,sys_mem_used_gb_before,0.022764822658310972,sys_mem_used_gb_after,0.9460684937866571
1,sys_mem_used_gb_before,0.022764822658310972,sys_mem_percent_avg,0.8807361914468304
1,sys_mem_used_gb_before,0.022764822658310972,sys_mem_used_gb_before,0.0
2,training_time_seconds,0.0594538282335029,training_time_seconds,0.0
3,test_max_error,0.03825463789632105,test_max_error,0.0
4,test_mse,0.03425606903808616,test_rmse,0.9998528165542327
4,test_mse,0.03425606903808616,cv_rmse_mean,0.9048903150815852
4,test_mse,0.03425606903808616,cv_mse_mean,0.9048102444677113
4,test_mse,0.03425606903808616,train_rmse,0.8479646778117407
4,test_mse,0.03425606903808616,train_mse,0.8479454713767742
4,test_mse,0.03425606903808616,test_mape,0.7941858178723031
4,test_mse,0.03425606903808616,cv_mae_mean,0.7830742022064385
4,test_mse,0.03425606903808616,train_mae,0.7788028796898795
4,test_mse,0.03425606903808616,test_mae,0.7768094425348591
4,test_mse,0.03425606903808616,test_median_absolute_error,0.7587788989882075
4,test_mse,0.03425606903808616,test_mse,0.0
5,test_explained_variance,0.030638905005320825,test_r2,0.9999922481521532
5,test_explained_variance,0.030638905005320825,cv_r2_mean,0.9055293288025063
5,test_explained_variance,0.030638905005320825,train_r2,0.8486624342324544
5,test_explained_variance,0.030638905005320825,test_explained_variance,0.0
6,r2_diff_train_test,0.047337315239804875,r2_diff_train_test,0.0
7,feature_importance_std,0.04742473489366537,feature_importance_max,0.9492403100775194
7,feature_importance_std,0.04742473489366537,feature_importance_std,0.0
8,rmse_diff_train_test,0.06317130503089764,rmse_diff_train_test,0.0
9,sys_mem_delta_gb,0.0729450925893801,sys_mem_delta_gb,0.0
10,sys_cpu_percent_avg,0.02300994670946357,sys_cpu_percent_avg,0.0
