iteration,selected_feature,selected_shap_importance,removed_feature,relationship_measure
1,test_mape,0.0170064125593706,test_rmse,0.7943369126597579
1,test_mape,0.0170064125593706,test_mse,0.7941858178723031
1,test_mape,0.0170064125593706,cv_rmse_mean,0.7931491475099346
1,test_mape,0.0170064125593706,cv_mse_mean,0.793090627754425
1,test_mape,0.0170064125593706,test_mape,0.0
2,cv_mae_mean,0.010908443679527651,train_mae,0.9461859129476191
2,cv_mae_mean,0.010908443679527651,test_mae,0.9438435563550199
2,cv_mae_mean,0.010908443679527651,test_median_absolute_error,0.92462086918076
2,cv_mae_mean,0.010908443679527651,train_mse,0.8154408829718662
2,cv_mae_mean,0.010908443679527651,train_rmse,0.8154265751890871
2,cv_mae_mean,0.010908443679527651,cv_mae_mean,0.0
3,training_time_seconds,0.014600172559987426,training_time_seconds,0.0
4,test_r2,0.01623814929317147,test_explained_variance,0.9999922481521532
4,test_r2,0.01623814929317147,cv_r2_mean,0.9055363483824986
4,test_r2,0.01623814929317147,train_r2,0.8486690129855153
4,test_r2,0.01623814929317147,test_r2,0.0
5,test_max_error,0.01965088332613171,test_max_error,0.0
6,feature_importance_max,0.020186124335549786,feature_importance_std,0.9492403100775194
6,feature_importance_max,0.020186124335549786,feature_importance_max,0.0
7,rmse_diff_train_test,0.023104785894790567,rmse_diff_train_test,0.0
8,sys_mem_used_gb_after,0.023659739673410115,sys_mem_peak_gb,0.996270446772621
8,sys_mem_used_gb_after,0.023659739673410115,sys_mem_used_gb_before,0.9460684937866571
8,sys_mem_used_gb_after,0.023659739673410115,sys_mem_percent_avg,0.8928083735496454
8,sys_mem_used_gb_after,0.023659739673410115,sys_mem_used_gb_after,0.0
9,r2_diff_train_test,0.03804067435657291,r2_diff_train_test,0.0
10,sys_mem_delta_gb,0.03877657346472235,sys_mem_delta_gb,0.0
