metric_1,metric_2,relationship_type,relationship_strength,is_tradeoff
sys_mem_delta_gb,train_rmse,Kendall,-0.015760250451281974,0
sys_mem_delta_gb,train_mse,Kendall,-0.015760250451281974,0
sys_cpu_percent_avg,cv_mse_mean,Kendall,-0.01667593364912675,0
sys_cpu_percent_avg,test_mae,Kendall,-0.01681206597847716,0
sys_cpu_percent_avg,train_mae,Kendall,-0.032826608214930636,0
sys_cpu_percent_avg,cv_rmse_mean,Kendall,-0.03362413195695432,0
sys_mem_peak_gb,train_rmse,Kendall,-0.06352408168042842,0
sys_mem_peak_gb,train_mse,Kendall,-0.06352408168042842,0
training_time_seconds,cv_r2_mean,Kendall,-0.06356417261637282,0
sys_cpu_percent_avg,sys_mem_used_gb_before,Kendall,-0.06465081838352359,0
test_rmse,feature_importance_max,Kendall,-0.06558258357839529,0
r2_diff_train_test,cv_mae_mean,Kendall,-0.06666666666666665,0
sys_cpu_percent_avg,cv_mae_mean,Kendall,-0.10170952554312154,0
sys_mem_delta_gb,cv_r2_mean,Kendall,-0.12712834523274563,0
training_time_seconds,cv_mae_mean,Kendall,-0.12712834523274563,0
rmse_diff_train_test,train_mae,Kendall,-0.157485197087178,0
sys_mem_peak_gb,test_mape,Kendall,-0.15881020420107103,0
r2_diff_train_test,sys_mem_used_gb_before,Kendall,-0.15891043154093204,0
sys_mem_peak_gb,train_mae,Kendall,-0.17054776006016165,0
sys_mem_delta_gb,test_mape,Kendall,-0.1733627549641017,0
rmse_diff_train_test,test_median_absolute_error,Kendall,-0.1760056322703504,0
sys_mem_peak_gb,test_mae,Kendall,-0.19057224504128525,0
training_time_seconds,test_explained_variance,Kendall,-0.19069251784911845,0
training_time_seconds,test_r2,Kendall,-0.19069251784911845,0
feature_importance_std,train_mae,Kendall,-0.19364916731037085,0
train_r2,train_mae,Kendall,-0.19364916731037085,0
rmse_diff_train_test,test_explained_variance,Kendall,-0.1951800145897066,0
rmse_diff_train_test,test_r2,Kendall,-0.1951800145897066,0
test_max_error,cv_mse_mean,Kendall,-0.19674775073518588,0
r2_diff_train_test,test_mse,Kendall,-0.19674775073518588,0
test_max_error,cv_rmse_mean,Kendall,-0.1983538814721859,0
feature_importance_std,test_mae,Kendall,-0.1983538814721859,0
train_r2,test_mae,Kendall,-0.1983538814721859,0
test_max_error,feature_importance_max,Kendall,-0.2,0
sys_mem_peak_gb,test_median_absolute_error,Kendall,-0.20478155158843717,0
sys_mem_peak_gb,test_mse,Kendall,-0.20478155158843717,0
rmse_diff_train_test,test_mae,Kendall,-0.20970469801485847,0
feature_importance_std,sys_mem_used_gb_before,Kendall,-0.22247460415730486,0
test_rmse,sys_mem_used_gb_after,Kendall,-0.25012215979228897,0
feature_importance_std,sys_mem_used_gb_after,Kendall,-0.25425669046549126,0
test_rmse,sys_mem_used_gb_before,Kendall,-0.281387429766325,0
rmse_diff_train_test,cv_mse_mean,Kendall,-0.2880092164423916,0
training_time_seconds,test_mape,Kendall,-0.29944475857435754,0
sys_mem_peak_gb,feature_importance_max,Kendall,-0.30424349222966557,0
rmse_diff_train_test,cv_rmse_mean,Kendall,-0.3064914817140239,0
sys_mem_peak_gb,cv_rmse_mean,Kendall,-0.31762040840214206,0
r2_diff_train_test,sys_mem_used_gb_after,Kendall,-0.3178208630818641,0
test_max_error,train_mae,Kendall,-0.3227486121839514,0
rmse_diff_train_test,feature_importance_max,Kendall,-0.3253000243161777,0
feature_importance_std,cv_mse_mean,Kendall,-0.32791291789197646,0
test_max_error,test_median_absolute_error,Kendall,-0.32791291789197646,0
feature_importance_std,test_mse,Kendall,-0.32791291789197646,0
train_r2,cv_mse_mean,Kendall,-0.32791291789197646,0
feature_importance_std,cv_rmse_mean,Kendall,-0.33058980245364317,0
r2_diff_train_test,train_mse,Kendall,-0.33058980245364317,0
r2_diff_train_test,train_rmse,Kendall,-0.33058980245364317,0
train_r2,cv_rmse_mean,Kendall,-0.33058980245364317,0
test_max_error,test_mae,Kendall,-0.33058980245364317,0
sys_mem_peak_gb,cv_mse_mean,Kendall,-0.3308009679505523,0
test_max_error,test_r2,Kendall,-0.3333333333333333,0
r2_diff_train_test,cv_r2_mean,Kendall,-0.3333333333333333,0
test_max_error,test_explained_variance,Kendall,-0.3333333333333333,0
sys_mem_peak_gb,cv_mae_mean,Kendall,-0.36829475375170045,0
sys_mem_delta_gb,feature_importance_max,Kendall,-0.4449492083146097,0
training_time_seconds,feature_importance_max,Kendall,-0.4449492083146097,0
test_rmse,cv_r2_mean,Kendall,-0.459078085048767,0
feature_importance_std,train_rmse,Kendall,-0.4628257234351004,0
feature_importance_std,train_mse,Kendall,-0.4628257234351004,0
train_r2,cv_mae_mean,Kendall,-0.4666666666666666,0
sys_cpu_percent_avg,test_mse,Kendall,-0.5169539431229292,0
sys_cpu_percent_avg,train_rmse,Kendall,-0.521174045332792,0
sys_cpu_percent_avg,train_mse,Kendall,-0.521174045332792,0
test_rmse,test_mape,Kendall,-0.5691245004265075,0
rmse_diff_train_test,test_mape,Kendall,-0.5968518328115202,0
test_max_error,test_mape,Kendall,-0.7272975653980149,0
train_r2,test_mse,Kendall,-0.8525735865191388,1
test_rmse,test_explained_variance,Kendall,-0.9837387536759294,1
test_rmse,test_r2,Kendall,-0.9837387536759294,1
train_r2,train_rmse,Kendall,-0.9917694073609294,1
train_r2,train_mse,Kendall,-0.9917694073609294,1
