metric_1,metric_2,relationship_type,relationship_strength,is_tradeoff
test_max_error,cv_r2_mean,Kendall,-0.012270169563871839,0
sys_mem_used_gb_before,cv_mse_mean,Kendall,-0.017969227094577368,0
sys_mem_used_gb_before,cv_rmse_mean,Kendall,-0.024032803130483338,0
rmse_diff_train_test,feature_importance_mean,Kendall,-0.026462806201248155,0
train_mse,feature_importance_mean,Kendall,-0.026702293491727633,0
sys_mem_used_gb_before,sys_cpu_percent_avg,Kendall,-0.03850428143282596,0
sys_mem_delta_gb,feature_importance_std,Kendall,-0.06008200782620835,0
rmse_diff_train_test,feature_importance_std,Kendall,-0.06061608062110899,0
feature_importance_max,train_rmse,Kendall,-0.06079729501828698,0
train_mse,feature_importance_std,Kendall,-0.06116465361813115,0
r2_diff_train_test,feature_importance_mean,Kendall,-0.08084520834544431,0
rmse_diff_train_test,sys_mem_percent_avg,Kendall,-0.08128769247025337,0
feature_importance_max,cv_mae_mean,Kendall,-0.08563051506538359,0
test_mape,sys_mem_used_gb_after,Kendall,-0.08984613547288685,0
test_mape,sys_mem_peak_gb,Kendall,-0.08984613547288685,0
train_mse,sys_mem_percent_avg,Kendall,-0.1043933452428748,0
training_time_seconds,test_rmse,Kendall,-0.11870742829929377,0
training_time_seconds,test_mse,Kendall,-0.11870742829929377,0
feature_importance_max,train_mae,Kendall,-0.1345622379598885,0
feature_importance_max,test_mae,Kendall,-0.1345622379598885,0
feature_importance_max,sys_mem_percent_avg,Kendall,-0.1429824863121481,0
sys_mem_used_gb_before,cv_mae_mean,Kendall,-0.14883325549356105,0
sys_mem_used_gb_before,test_rmse,Kendall,-0.15431965678908188,0
sys_mem_used_gb_before,test_mse,Kendall,-0.15431965678908188,0
feature_importance_max,test_median_absolute_error,Kendall,-0.159028099407141,0
training_time_seconds,train_rmse,Kendall,-0.15977450230011844,0
sys_mem_used_gb_before,test_median_absolute_error,Kendall,-0.16073991593304596,0
sys_mem_used_gb_before,test_mae,Kendall,-0.17264657637253084,0
sys_mem_used_gb_before,train_mae,Kendall,-0.18455323681201571,0
sys_mem_delta_gb,test_mse,Kendall,-0.18993188527887003,0
