metric_1,metric_2,relationship_type,relationship_strength,is_tradeoff
feature_importance_max,cv_rmse_mean,Kendall,-0.014492753623188406,0
feature_importance_max,cv_mse_mean,Kendall,-0.014492753623188406,0
feature_importance_max,sys_cpu_percent_avg,Kendall,-0.038693478670852204,0
test_mape,feature_importance_std,Kendall,-0.04462477705098721,0
train_mae,sys_cpu_percent_avg,Kendall,-0.04643217440502265,0
r2_diff_train_test,test_median_absolute_error,Kendall,-0.05287576166262276,0
rmse_diff_train_test,test_mae,Kendall,-0.06521739130434782,0
training_time_seconds,sys_cpu_percent_avg,Kendall,-0.10060304454421574,0
test_max_error,test_rmse,Kendall,-0.10452419135052178,0
test_max_error,test_mse,Kendall,-0.10452419135052178,0
r2_diff_train_test,sys_cpu_percent_avg,Kendall,-0.13929652321506794,0
r2_diff_train_test,cv_mae_mean,Kendall,-0.15942028985507248,0
test_mape,train_mse,Kendall,-0.16362418252028643,0
test_mape,train_rmse,Kendall,-0.16362418252028643,0
test_mape,test_mse,Kendall,-0.17106164536211765,0
test_mape,test_rmse,Kendall,-0.17106164536211765,0
feature_importance_max,cv_mae_mean,Kendall,-0.17391304347826086,0
test_mape,test_mae,Kendall,-0.17849910820394885,0
test_max_error,test_median_absolute_error,Kendall,-0.20234841706760096,0
r2_diff_train_test,test_mse,Kendall,-0.21014492753623187,0
r2_diff_train_test,test_rmse,Kendall,-0.21014492753623187,0
train_mae,test_median_absolute_error,Kendall,-0.21905672688800862,0
train_mae,cv_mae_mean,Kendall,-0.2753623188405797,0
test_mape,test_median_absolute_error,Kendall,-0.27910331351331735,0
training_time_seconds,test_median_absolute_error,Kendall,-0.2870398490256665,0
r2_diff_train_test,cv_mse_mean,Kendall,-0.34782608695652173,0
r2_diff_train_test,cv_rmse_mean,Kendall,-0.34782608695652173,0
training_time_seconds,cv_rmse_mean,Kendall,-0.35507246376811596,0
training_time_seconds,cv_mse_mean,Kendall,-0.35507246376811596,0
test_max_error,cv_rmse_mean,Kendall,-0.4106307517341927,0
test_max_error,cv_mse_mean,Kendall,-0.4106307517341927,0
r2_diff_train_test,feature_importance_std,Kendall,-0.5652173913043478,0
test_max_error,cv_mae_mean,Kendall,-0.5674170387599753,0
r2_diff_train_test,train_mse,Kendall,-0.608695652173913,0
r2_diff_train_test,train_rmse,Kendall,-0.608695652173913,0
training_time_seconds,cv_mae_mean,Kendall,-0.7898550724637681,1
