metric_1,metric_2,relationship_type,relationship_strength,is_tradeoff
cv_mae_mean,feature_importance_max,Kendall,-0.06666666666666665,0
sys_mem_delta_gb,feature_importance_max,Kendall,-0.06666666666666665,0
sys_mem_used_gb_after,test_rmse,Kendall,-0.06666666666666665,0
feature_importance_std,cv_rmse_mean,Kendall,-0.06666666666666665,0
feature_importance_std,cv_mse_mean,Kendall,-0.06666666666666665,0
sys_mem_used_gb_after,test_mse,Kendall,-0.06666666666666665,0
training_time_seconds,test_r2,Kendall,-0.06666666666666665,0
training_time_seconds,test_explained_variance,Kendall,-0.06666666666666665,0
test_max_error,test_mse,Kendall,-0.07161148740394328,0
test_max_error,test_rmse,Kendall,-0.07161148740394328,0
test_mape,sys_mem_peak_gb,Kendall,-0.0778498944161523,0
training_time_seconds,test_median_absolute_error,Kendall,-0.08606629658238703,0
sys_mem_delta_gb,sys_cpu_percent_avg,Kendall,-0.14907119849998599,0
rmse_diff_train_test,sys_cpu_percent_avg,Kendall,-0.14907119849998599,0
training_time_seconds,cv_rmse_mean,Kendall,-0.2,0
r2_diff_train_test,sys_mem_peak_gb,Kendall,-0.2,0
sys_mem_used_gb_after,train_mae,Kendall,-0.2,0
training_time_seconds,cv_mse_mean,Kendall,-0.2,0
train_r2,sys_mem_peak_gb,Kendall,-0.2,0
train_r2,train_mae,Kendall,-0.2,0
train_r2,test_mae,Kendall,-0.2,0
sys_mem_used_gb_after,test_mae,Kendall,-0.2,0
r2_diff_train_test,test_mae,Kendall,-0.2,0
feature_importance_std,test_r2,Kendall,-0.2,0
cv_mae_mean,sys_mem_peak_gb,Kendall,-0.2,0
r2_diff_train_test,train_mae,Kendall,-0.2,0
feature_importance_std,test_explained_variance,Kendall,-0.2,0
test_max_error,test_mae,Kendall,-0.21483446221182986,0
test_max_error,train_mae,Kendall,-0.21483446221182986,0
test_mape,cv_r2_mean,Kendall,-0.2335496832484569,0
sys_mem_used_gb_after,test_median_absolute_error,Kendall,-0.25819888974716115,0
test_mape,sys_cpu_percent_avg,Kendall,-0.2611164839335468,0
sys_mem_delta_gb,test_rmse,Kendall,-0.3333333333333333,0
sys_mem_used_gb_after,cv_mse_mean,Kendall,-0.3333333333333333,0
sys_mem_delta_gb,test_mse,Kendall,-0.3333333333333333,0
rmse_diff_train_test,cv_r2_mean,Kendall,-0.3333333333333333,0
training_time_seconds,sys_mem_peak_gb,Kendall,-0.3333333333333333,0
sys_mem_delta_gb,cv_rmse_mean,Kendall,-0.3333333333333333,0
training_time_seconds,train_rmse,Kendall,-0.3333333333333333,0
sys_mem_delta_gb,cv_mse_mean,Kendall,-0.3333333333333333,0
r2_diff_train_test,test_rmse,Kendall,-0.3333333333333333,0
r2_diff_train_test,cv_mse_mean,Kendall,-0.3333333333333333,0
training_time_seconds,train_mse,Kendall,-0.3333333333333333,0
sys_mem_used_gb_after,cv_rmse_mean,Kendall,-0.3333333333333333,0
train_r2,cv_mse_mean,Kendall,-0.3333333333333333,0
r2_diff_train_test,cv_rmse_mean,Kendall,-0.3333333333333333,0
train_r2,test_rmse,Kendall,-0.3333333333333333,0
train_r2,test_mse,Kendall,-0.3333333333333333,0
train_r2,cv_rmse_mean,Kendall,-0.3333333333333333,0
rmse_diff_train_test,test_r2,Kendall,-0.3333333333333333,0
r2_diff_train_test,test_mse,Kendall,-0.3333333333333333,0
rmse_diff_train_test,test_explained_variance,Kendall,-0.3333333333333333,0
test_max_error,cv_mse_mean,Kendall,-0.3580574370197165,0
test_max_error,cv_rmse_mean,Kendall,-0.3580574370197165,0
sys_mem_used_gb_after,sys_cpu_percent_avg,Kendall,-0.447213595499958,0
train_r2,sys_mem_used_gb_before,Kendall,-0.4666666666666666,0
r2_diff_train_test,sys_mem_used_gb_before,Kendall,-0.4666666666666666,0
sys_mem_delta_gb,train_mse,Kendall,-0.4666666666666666,0
sys_mem_delta_gb,train_mae,Kendall,-0.4666666666666666,0
sys_mem_delta_gb,train_rmse,Kendall,-0.4666666666666666,0
sys_mem_delta_gb,test_mae,Kendall,-0.4666666666666666,0
r2_diff_train_test,feature_importance_max,Kendall,-0.6,0
train_r2,feature_importance_max,Kendall,-0.6,0
training_time_seconds,sys_mem_used_gb_before,Kendall,-0.6,0
sys_mem_delta_gb,test_median_absolute_error,Kendall,-0.6024640760767093,0
test_mape,test_r2,Kendall,-0.7006490497453707,0
test_mape,test_explained_variance,Kendall,-0.7006490497453707,0
cv_mae_mean,cv_r2_mean,Kendall,-0.7333333333333333,0
cv_mae_mean,test_explained_variance,Kendall,-0.7333333333333333,0
cv_mae_mean,test_r2,Kendall,-0.7333333333333333,0
train_r2,test_median_absolute_error,Kendall,-0.7745966692414834,1
r2_diff_train_test,test_median_absolute_error,Kendall,-0.7745966692414834,1
train_r2,train_rmse,Kendall,-0.9999999999999999,1
train_r2,train_mse,Kendall,-0.9999999999999999,1
r2_diff_train_test,train_rmse,Kendall,-0.9999999999999999,1
r2_diff_train_test,train_mse,Kendall,-0.9999999999999999,1
