metric_1,metric_2,relationship_type,relationship_strength,is_tradeoff
training_time_seconds,sys_cpu_percent_avg,Kendall,-0.0017692773810560549,0
test_max_error,sys_cpu_percent_avg,Kendall,-0.02517321126877426,0
rmse_diff_train_test,sys_cpu_percent_avg,Kendall,-0.034008168780173695,0
feature_importance_max,sys_cpu_percent_avg,Kendall,-0.04026814889112923,0
feature_importance_max,cv_mae_mean,Kendall,-0.09379539249233933,0
rmse_diff_train_test,feature_importance_std,Kendall,-0.09853576239908908,0
feature_importance_max,test_median_absolute_error,Kendall,-0.10031218599383061,0
feature_importance_max,train_mae,Kendall,-0.113928953372511,0
feature_importance_max,test_mae,Kendall,-0.1183237868635196,0
feature_importance_max,train_mse,Kendall,-0.1427868843675947,0
feature_importance_max,train_rmse,Kendall,-0.14282984129905857,0
test_rmse,feature_importance_std,Kendall,-0.15031914682221661,0
feature_importance_max,test_mse,Kendall,-0.16733299148315847,0
feature_importance_max,cv_mse_mean,Kendall,-0.17882975594142564,0
feature_importance_max,cv_rmse_mean,Kendall,-0.1788591373194176,0
test_max_error,feature_importance_std,Kendall,-0.18189791351885204,0
training_time_seconds,train_mse,Kendall,-0.2107793941107117,0
training_time_seconds,train_rmse,Kendall,-0.21089742883804763,0
feature_importance_max,test_mape,Kendall,-0.225302764059681,0
training_time_seconds,cv_mse_mean,Kendall,-0.23551958140534626,0
training_time_seconds,cv_rmse_mean,Kendall,-0.235667584595485,0
r2_diff_train_test,test_median_absolute_error,Kendall,-0.24748834725509608,0
training_time_seconds,test_median_absolute_error,Kendall,-0.24957698975172693,0
training_time_seconds,test_mse,Kendall,-0.25121535073477985,0
r2_diff_train_test,test_mae,Kendall,-0.2550465048174717,0
training_time_seconds,cv_mae_mean,Kendall,-0.26026660263594725,0
training_time_seconds,train_mae,Kendall,-0.26102195311346954,0
training_time_seconds,test_mae,Kendall,-0.26553067253112583,0
training_time_seconds,test_mape,Kendall,-0.266572488744276,0
r2_diff_train_test,test_mse,Kendall,-0.26802111942780865,0
r2_diff_train_test,train_mae,Kendall,-0.27780375578588506,0
r2_diff_train_test,cv_mae_mean,Kendall,-0.2910207170299648,0
r2_diff_train_test,test_mape,Kendall,-0.30945406868718234,0
r2_diff_train_test,cv_mse_mean,Kendall,-0.43216006386116523,0
r2_diff_train_test,cv_rmse_mean,Kendall,-0.43223106691165025,0
r2_diff_train_test,train_mse,Kendall,-0.5265122034030069,0
r2_diff_train_test,train_rmse,Kendall,-0.5266706027457522,0
