iteration,selected_feature,selected_shap_importance,removed_feature,relationship_measure
1,feature_importance_std,0.013452690020614583,feature_importance_max,0.9492403100775194
1,feature_importance_std,0.013452690020614583,feature_importance_std,0.0
2,rmse_diff_train_test,0.012209301508801864,rmse_diff_train_test,0.0
3,train_mae,0.016651478664335546,test_mae,0.9834831123113198
3,train_mae,0.016651478664335546,test_median_absolute_error,0.9585984366463042
3,train_mae,0.016651478664335546,cv_mae_mean,0.9461859129476191
3,train_mae,0.016651478664335546,train_rmse,0.8183719634100713
3,train_mae,0.016651478664335546,train_mse,0.8183550516383645
3,train_mae,0.016651478664335546,test_rmse,0.778936442884313
3,train_mae,0.016651478664335546,test_mse,0.7788028796898795
3,train_mae,0.016651478664335546,cv_rmse_mean,0.7571378862861797
3,train_mae,0.016651478664335546,cv_mse_mean,0.7570813234072937
3,train_mae,0.016651478664335546,train_mae,0.0
4,training_time_seconds,0.022855011197731676,training_time_seconds,0.0
5,train_r2,0.022075627554834033,cv_r2_mean,0.8681901336392669
5,train_r2,0.022075627554834033,test_r2,0.8486690129855153
5,train_r2,0.022075627554834033,test_explained_variance,0.8486624342324544
5,train_r2,0.022075627554834033,train_r2,0.0
6,r2_diff_train_test,0.029278299357581656,r2_diff_train_test,0.0
7,test_max_error,0.02528339306012693,test_max_error,0.0
8,sys_mem_used_gb_before,0.03136727738369239,sys_mem_peak_gb,0.949813522338631
8,sys_mem_used_gb_before,0.03136727738369239,sys_mem_used_gb_after,0.9460684937866571
8,sys_mem_used_gb_before,0.03136727738369239,sys_mem_percent_avg,0.8807361914468304
8,sys_mem_used_gb_before,0.03136727738369239,sys_mem_used_gb_before,0.0
9,test_mape,0.04691648663181553,test_mape,0.0
10,sys_mem_delta_gb,0.0406291312373801,sys_mem_delta_gb,0.0
