iteration,selected_feature,selected_shap_importance,removed_feature,relationship_measure
1,feature_importance_std,0.015592037354319407,feature_importance_max,0.9492403100775194
1,feature_importance_std,0.015592037354319407,feature_importance_std,0.0
2,test_mape,0.013562319813510627,test_rmse,0.7943369126597579
2,test_mape,0.013562319813510627,test_mse,0.7941858178723031
2,test_mape,0.013562319813510627,cv_rmse_mean,0.7931491475099346
2,test_mape,0.013562319813510627,cv_mse_mean,0.793090627754425
2,test_mape,0.013562319813510627,test_mape,0.0
3,test_explained_variance,0.018425271293640362,test_r2,0.9999922481521532
3,test_explained_variance,0.018425271293640362,cv_r2_mean,0.9055293288025063
3,test_explained_variance,0.018425271293640362,train_r2,0.8486624342324544
3,test_explained_variance,0.018425271293640362,test_explained_variance,0.0
4,training_time_seconds,0.02242541654741813,training_time_seconds,0.0
5,train_mse,0.020352891033623106,train_rmse,0.999767624997728
5,train_mse,0.020352891033623106,train_mae,0.8183550516383645
5,train_mse,0.020352891033623106,cv_mae_mean,0.8154408829718662
5,train_mse,0.020352891033623106,test_mae,0.8063241797467815
5,train_mse,0.020352891033623106,test_median_absolute_error,0.784256042710248
5,train_mse,0.020352891033623106,train_mse,0.0
6,sys_mem_used_gb_after,0.02017466137747291,sys_mem_peak_gb,0.996270446772621
6,sys_mem_used_gb_after,0.02017466137747291,sys_mem_used_gb_before,0.9460684937866571
6,sys_mem_used_gb_after,0.02017466137747291,sys_mem_percent_avg,0.8928083735496454
6,sys_mem_used_gb_after,0.02017466137747291,sys_mem_used_gb_after,0.0
7,r2_diff_train_test,0.033840201444107584,r2_diff_train_test,0.0
8,test_max_error,0.02429380112166671,test_max_error,0.0
9,rmse_diff_train_test,0.03381545940020028,rmse_diff_train_test,0.0
10,sys_mem_delta_gb,0.04225388898558486,sys_mem_delta_gb,0.0
